Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.002421307506053269,"The evaluation of noisy binary classifiers on unlabeled data is treated as a streaming
1"
ABSTRACT,0.004842615012106538,"task - given a data sketch of the decisions by an ensemble, estimate the true
2"
ABSTRACT,0.007263922518159807,"prevalence of the labels as well as each classifier’s accuracy on them. Two fully
3"
ABSTRACT,0.009685230024213076,"algebraic evaluators are constructed to do this. Both are based on the assumption
4"
ABSTRACT,0.012106537530266344,"that the classifiers make independent errors on the test items. The first is based
5"
ABSTRACT,0.014527845036319613,"on majority voting. The second, the main contribution of the paper, is guaranteed
6"
ABSTRACT,0.01694915254237288,"to be correct for independent classifiers. But how do we know the classifiers are
7"
ABSTRACT,0.01937046004842615,"error independent on any given test? This principal/agent monitoring paradox is
8"
ABSTRACT,0.021791767554479417,"ameliorated by exploiting the failures of the independent evaluator to return sensible
9"
ABSTRACT,0.024213075060532687,"estimates. Some of these failures can be traced to producing algebraic versus real
10"
ABSTRACT,0.026634382566585957,"numbers while evaluating a finite test. A search for nearly error independent trios
11"
ABSTRACT,0.029055690072639227,"is empirically carried out on the adult, mushroom, and two-norm datasets by
12"
ABSTRACT,0.031476997578692496,"using these algebraic failure modes to reject potential evaluation ensembles as too
13"
ABSTRACT,0.03389830508474576,"correlated. At its final steps, the searches are refined by constructing a surface
14"
ABSTRACT,0.03631961259079903,"in evaluation space that must contain the true value point. The surface comes
15"
ABSTRACT,0.0387409200968523,"from considering the algebra of arbitrarily correlated classifiers and selecting a
16"
ABSTRACT,0.04116222760290557,"polynomial subset that is free of any correlation variables. Candidate evaluation
17"
ABSTRACT,0.043583535108958835,"ensembles are then rejected if their data sketches produce independent evaluation
18"
ABSTRACT,0.04600484261501211,"estimates that are too far from the constructed surface. The results produced by the
19"
ABSTRACT,0.048426150121065374,"surviving evaluation ensembles can sometimes be as good as 1%. But handling
20"
ABSTRACT,0.05084745762711865,"even small amounts of correlation remains a challenge. A Taylor expansion of the
21"
ABSTRACT,0.053268765133171914,"estimates produced when error independence is assumed but the classifiers are,
22"
ABSTRACT,0.05569007263922518,"in fact, slightly correlated helps clarify how the proposed independent evaluator
23"
ABSTRACT,0.05811138014527845,"has algebraic ‘blind spots’ of its own. They are points in evaluation space but the
24"
ABSTRACT,0.06053268765133172,"estimate of the independent evaluator has a sensitivity inversely proportional to
25"
ABSTRACT,0.06295399515738499,"the distance of the true point from them. How algebraic stream evaluation can and
26"
ABSTRACT,0.06537530266343826,"cannot help when done for safety or economic reasons is briefly discussed.
27"
INTRODUCTION,0.06779661016949153,"1
Introduction
28"
INTRODUCTION,0.07021791767554479,"Streaming algorithms compute sample statistics of a data stream. A data sketch, selected to fit the
29"
INTRODUCTION,0.07263922518159806,"sample statistic one wants to compute, is updated every time a new item appears in the stream. A
30"
INTRODUCTION,0.07506053268765134,"simple example of such a streaming algorithm is the use of two counters to compute the average
31"
INTRODUCTION,0.0774818401937046,"value of a stream of numbers,
32"
INTRODUCTION,0.07990314769975787,"n, sum = n
X"
INTRODUCTION,0.08232445520581114,"i
xi
(1) (2)"
INTRODUCTION,0.0847457627118644,"Figure 1: Stream of label predictions by three binary classifiers. Eight integer counters are enough to
tally the number of times a particular prediction or voting pattern occurs when looking at per-item
decision events."
INTRODUCTION,0.08716707021791767,"The first integer counter tallies how many numbers have been observed so far. The second keeps
33"
INTRODUCTION,0.08958837772397095,"a running total of the observed values. This data sketch is then used to compute the mean of the
34"
INTRODUCTION,0.09200968523002422,"observed stream,
35"
INTRODUCTION,0.09443099273607748,"sum/n.
(3)"
