Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0019267822736030828,"This paper studies the performative prediction problem where a learner aims to
1"
ABSTRACT,0.0038535645472061657,"minimize the expected loss with a decision-dependent data distribution. Such
2"
ABSTRACT,0.005780346820809248,"setting is motivated when outcomes can be affected by the prediction model, e.g.,
3"
ABSTRACT,0.007707129094412331,"in strategic classification. We consider a state-dependent setting where the data
4"
ABSTRACT,0.009633911368015413,"distribution evolves according to an underlying controlled Markov chain. We
5"
ABSTRACT,0.011560693641618497,"focus on stochastic derivative free optimization (DFO) where the learner is given
6"
ABSTRACT,0.01348747591522158,"access to a loss function evaluation oracle with the above Markovian data. We
7"
ABSTRACT,0.015414258188824663,"propose a two-timescale DFO(λ) algorithm that features (i) a sample accumulation
8"
ABSTRACT,0.017341040462427744,"mechanism that utilizes every observed sample to estimate the overall gradient of
9"
ABSTRACT,0.019267822736030827,"performative risk, and (ii) a two-timescale diminishing step size that balances the
10"
ABSTRACT,0.02119460500963391,"rates of DFO updates and bias reduction. Under a general non-convex optimization
11"
ABSTRACT,0.023121387283236993,"setting, we show that DFO(λ) requires O(1/ϵ3) samples (up to a log factor) to
12"
ABSTRACT,0.025048169556840076,"attain a near-stationary solution with expected squared gradient norm less than
13"
ABSTRACT,0.02697495183044316,"ϵ > 0. Numerical experiments verify our analysis.
14"
INTRODUCTION,0.028901734104046242,"1
Introduction
15"
INTRODUCTION,0.030828516377649325,"Consider the following stochastic optimization problem with decision-dependent data:
16"
INTRODUCTION,0.03275529865125241,"min
θ∈Rd L(θ) = EZ∼Πθ

ℓ(θ; Z)

.
(1)"
INTRODUCTION,0.03468208092485549,"Notice that the decision variable θ appears in both the loss function ℓ(θ; Z) and the data distribution
17"
INTRODUCTION,0.036608863198458574,"Πθ supported on Z. The overall loss function L(θ) is known as the performative risk which captures
18"
INTRODUCTION,0.038535645472061654,"the distributional shift due to changes in the deployed model. This setting is motivated by the
19"
INTRODUCTION,0.04046242774566474,"recent studies on performative prediction (Perdomo et al., 2020), which considers outcomes that are
20"
INTRODUCTION,0.04238921001926782,"supported by the deployed model θ under training. For example, this models strategic classification
21"
INTRODUCTION,0.04431599229287091,"(Hardt et al., 2016; Dong et al., 2018) in economical and financial practices such as with the training
22"
INTRODUCTION,0.046242774566473986,"of loan classifier for customers who may react to the deployed model θ to maximize their gains; or
23"
INTRODUCTION,0.04816955684007707,"in price promotion mechanism (Zhang et al., 2018) where customers react to prices with the aim of
24"
INTRODUCTION,0.05009633911368015,"gaining a lower price; or in ride sharing business (Narang et al., 2022) with customers who adjust
25"
INTRODUCTION,0.05202312138728324,"their demand according to prices set by the platform.
26"
INTRODUCTION,0.05394990366088632,"The objective function L(θ) is non-convex in general due to the effects of θ on both the loss function
27"
INTRODUCTION,0.055876685934489405,"and distribution. Numerous efforts have been focused on characterizing and finding the so-called
28"
INTRODUCTION,0.057803468208092484,"performative stable solution which is a fixed point to the repeated risk minimization (RRM) process
29"
INTRODUCTION,0.05973025048169557,"(Perdomo et al., 2020; Mendler-D¨unner et al., 2020; Brown et al., 2022; Li & Wai, 2022; Roy et al.,
30"
