Section,Section Appearance Order,Paragraph
PRINCETON NEUROSCIENCE INSTITUTE,0.0,"1Princeton Neuroscience Institute
2Department of Psychology, Princeton University
3Department of Computer Science, EPFL
4Department of Cognitive Science, Dartmouth College
5Department of Computer Science, Princeton University
6Microsoft Research
* Equal contribution"
ABSTRACT,0.0047169811320754715,Abstract
ABSTRACT,0.009433962264150943,"Recent work has documented striking heterogeneity in the performance of state-
of-the-art vision language models (VLMs), including both multimodal language
models and text-to-image models. These models are able to describe and generate
a diverse array of complex, naturalistic images, yet they exhibit surprising failures
on basic multi-object reasoning tasks – such as counting, localization, and simple
forms of visual analogy – that humans perform with near perfect accuracy. To
better understand this puzzling pattern of successes and failures, we turn to theo-
retical accounts of the binding problem in cognitive science and neuroscience, a
fundamental problem that arises when a shared set of representational resources
must be used to represent distinct entities (e.g., to represent multiple objects in an
image), necessitating the use of serial processing to avoid interference. We find that
many of the puzzling failures of state-of-the-art VLMs can be explained as arising
due to the binding problem, and that these failure modes are strikingly similar to
the limitations exhibited by rapid, feedforward processing in the human brain."
INTRODUCTION,0.014150943396226415,"1
Introduction"
INTRODUCTION,0.018867924528301886,"Recent progress in training large-scale neural networks on internet-scale datasets has led to the
creation of AI systems with capabilities rivaling human performance across a broad range of complex
tasks. Most recently, this has given rise to an array of vision language models (VLMs), including
multimodal language models such as GPT-4v that can generate text descriptions of multimodal text
and image inputs [1], and text-to-image models such as DALL-E 3 that can generate images from
natural language descriptions [24]. However, despite the considerable success of VLMs across many
tasks, these models still perform poorly on several surprisingly simple multi-object reasoning tasks –
such as counting [23, 25, 40], relational image generation [7], relational scene understanding [15, 31],
and simple visual analogy tasks [20, 38] – on which humans achieve near perfect accuracy."
INTRODUCTION,0.02358490566037736,"Drawing from theoretical work both in cognitive science and neuroscience, we turn to the binding
problem [9, 10, 29, 33, 36] as a potential explanation for these limitations. ‘Binding’ refers to the
ability to associate one feature of an object (e.g., its color) with the other features of that object (e.g.,
its shape and location), and the ‘binding problem’ refers to the question of how the brain accomplishes
this without interference between the features for different objects. It is widely recognized that the"
INTRODUCTION,0.02830188679245283,"human visual system relies on serial processing to solve this problem, iteratively directing attention to
individual objects so as to avoid interference [28, 33], and that binding errors arise when it is forced
to rely on rapid, parallel visual processing [14, 19, 33]. For example, when human participants are not
able to effectively deploy serial processing (e.g., because attention is overloaded, or because speeded
judgments are required), they are susceptible to so-called illusory conjunctions (e.g., mistakenly
identifying a red square in an image that contains a green square and a red circle) [32]."
INTRODUCTION,0.0330188679245283,"In this work, we test the hypothesis that the failures exhibited by VLMs on multi-object reasoning
tasks are due to representational interference resulting from an inability to manage the binding
problem. We first investigate two classic tasks from the cognitive science literature, visual search [33]
and numerical estimation [14, 19] (i.e., counting), finding that a wide range of VLMs (including 5
multimodal language models and 4 text-to-image models) exhibit stark capacity constraints similar to
those displayed by human observers when forced to make speeded responses. Importantly, although
these effects are more pronounced for scenes with more objects, they cannot be explained entirely as
a function of the number of objects in a scene. Instead, we find that performance is best explained
by the probability of interference given the specific distribution of features and their conjunctions
within a scene. Motivated by this observation, we develop a novel scene description benchmark that
systematically varies the likelihood of interference, finding that this quantity is highly predictive of
binding errors."
INTRODUCTION,0.03773584905660377,"We also apply these insights to better understand the limitations of VLMs in visual analogy tasks,
introducing a simple input pre-processing technique to reduce the potential for representational inter-
ference. We show that this technique improves the performance of VLMs on the task, suggesting that
their original limitation on this task may be due to a more basic difficulty with processing multi-object
scenes, rather than an inability to process relations. Finally, we discuss the normative factors that
underlie the binding problem [2, 9, 22], highlighting the role of compositional representations, which
are useful for generalization, but introduce the potential for interference when shared representations
are used to process multiple objects at the same time. We argue that, surprisingly, the binding
failures exhibited by VLMs imply the presence of compositional representations. Overall, these
results highlight the usefulness of cognitive science in helping to understand the limits of large-scale
generative models, and suggest the presence of a common set of principles that govern information
processing in both artificial systems and human cognition."
VISUAL SEARCH,0.04245283018867924,"2
Visual Search"
