Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.002531645569620253,"Connectionist Temporal Classiﬁcation (CTC) loss is commonly used in sequence
learning applications. For example, in Automatic Speech Recognition (ASR) task,
the training data consists of pairs of audio (input sequence) and text (output label),
without temporal alignment information. Standard CTC computes a loss by ag-
gregating over all possible alignment paths, that map the entire sequence to the
entire label (full alignment). However, in practice, there are often cases where the
label is incomplete. Speciﬁcally, we solve the partial alignment problem where
the label only matches a middle part of the sequence. This paper proposes the
wild-card CTC (W-CTC) to address this issue, by padding wild-cards at both ends
of the labels. Consequently, the proposed W-CTC improves the standard CTC
via aggregating over even more alignment paths. Evaluations on a number of
tasks in speech and vision domains, show that the proposed W-CTC consistently
outperforms the standard CTC by a large margin when label is incomplete. The
effectiveness of the proposed method is further conﬁrmed in an ablation study."
INTRODUCTION,0.005063291139240506,"1
INTRODUCTION"
INTRODUCTION,0.007594936708860759,"Connectionist Temporal Classiﬁcation (CTC) was proposed in (Graves et al., 2006) to train end-
to-end sequence learning models. It has become the most popular loss function in many sequence
learning applications, such as Automatic Speech Recognition (ASR) (Amodei et al., 2016; Batten-
berg et al., 2017) and Optical Character Recognition (OCR) (Liu et al., 2015; Subramani et al., 2020;
Chen et al., 2021). CTC has a number of attractive properties. For example, it comes with a clear
interpretation that maximizes the posterior marginal probability summed over all possible alignment
paths. In addition, CTC loss can be easily incorporated into neural nets because it is fully differen-
tiable. The gradients can be estimated efﬁciently by borrowing the well-known forward-backward
algorithm from Hidden Markov Models (HMMs) (Rabiner, 1989)."
INTRODUCTION,0.010126582278481013,"One limitation of standard CTC is that it assumes the label matches the whole input sequence.
CTC performs a full alignment between them. However, we often face the partial alignment in
practice. For example, a speech transcription often omits the prefacing introduction of the speaker;
a beginning of an audio book that tells who read the book, along with various other details, are
typically not in the written version; a sign language interpreter often ignore the irrelevant gestures
in the beginning and ending stages; etc. The above motivating examples are also referred as the
streaming problem (Sakurai et al., 2007). In a streaming speech or video, we only capture a fraction
of interested segments to form the labels. It is also common that the label is corrupted or noisy due
to variable recording conditions. Partial alignment is useful in semi-supervised or transfer learning
as well, which enables us to use a coarse model (from a different domain) to automatically generate
labels. We can discard the low-conﬁdent outputs and form the incomplete, but more accurate labels,
then feed them into the target model to train. In time series domain, streaming Dynamic Time
Warping (s-DTW) was proposed (Sakurai et al., 2007) for partial warping, and Cai et al. (2019)
extended it to differentiable training in neural nets. Inspired by their work, we propose the wild-card
enhanced CTC, dubbed as W-CTC, to perform the end-to-end partial-alignment sequence learning.
To the best of the authors’ knowledge, this is the ﬁrst study to apply CTC on incomplete labels."
PROBLEM FORMULATION,0.012658227848101266,"1.1
PROBLEM FORMULATION"
PROBLEM FORMULATION,0.015189873417721518,"Let X = [X0, X1, . . . , XT −1] be the input sequence of length T, e.g., speech audio frames for an
ASR system, or image segments for an OCR system. Let Y = [Y0, Y1, . . . , YN−1] be the corre-
sponding targets (labels) of length N, e.g., the transcription for ASR, or the recognized string for"
PROBLEM FORMULATION,0.017721518987341773,Published as a conference paper at ICLR 2022
PROBLEM FORMULATION,0.020253164556962026,"OCR. Assume T ≥N. Though both X and Y are provided, we don’t know how they are aligned.
Let the alignment function be ψ : X →Y , which maps a frame x ∈X to a target y ∈Y . Deﬁne:"
PROBLEM FORMULATION,0.02278481012658228,"Deﬁnition 1 (Subsequence). A subsequence of X, denoted as ˆX ⊂X, is a vector of multiple
consecutive elements in X, i.e. ˆX = [Xi, Xi+1, . . . , Xi+τ], where τ > 0.
Deﬁnition 2 (Full alignment). A full alignment maps the entire X to the entire Y , i.e. y = ψ(x) ∈
Y , for any x ∈X, as well as x = ψ−1(y) ∈X, for any y ∈Y .
Deﬁnition 3 (Alignment path). An alignment path, π, is a vector of the same length as X, i.e.
π = [y0, y1, . . . , yT −1], where each element yi = ψ(Xi) ∈Y , for 0 ≤i < T.
Deﬁnition 4 (Valid alignment). An alignment path is valid, if it satisﬁes:"
