Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.004424778761061947,"Traditional cameras produce desirable vision results but struggle with motion blur in
high-speed scenes due to long exposure windows. Existing frame-based deblurring
algorithms face challenges in extracting useful motion cues from severely blurred
images. Recently, an emerging bio-inspired vision sensor known as the spike
camera has achieved an extremely high frame rate while preserving rich spatial
details, owing to its novel sampling mechanism. However, typical binary spike
streams are relatively low-resolution, degraded image signals devoid of color
information, making them unfriendly to human vision. In this paper, we propose a
novel approach that integrates the two modalities from two branches, leveraging
spike streams as auxiliary visual cues for guiding deblurring in high-speed motion
scenes. We propose the first spike-based motion deblurring model with bidirectional
information complementarity. We introduce a content-aware motion magnitude
attention module that utilizes learnable mask to extract relevant information from
blurry images effectively, and we incorporate a transposed cross-attention fusion
module to efficiently combine features from both spike data and blurry RGB
images. Furthermore, we build two extensive synthesized datasets for training
and validation purposes, encompassing high-temporal-resolution spikes, blurry
images, and corresponding sharp images. The experimental results demonstrate
that our method effectively recovers clear RGB images from highly blurry scenes
and outperforms state-of-the-art deblurring algorithms in multiple settings."
INTRODUCTION,0.008849557522123894,"1
Introduction"
INTRODUCTION,0.01327433628318584,"Traditional computer vision is well developed and models on visual tasks are satisfying [10, 37, 36,
11]. As a mature industrial product, frame-based cameras have also been fully developed whose
imaging quality is high. Due to the existence of the exposure window, high-speed scenes or moving
objects will cause serious blur effects as illustrated in Fig. 1(a), which degrades or invalidates the
model performance. Thus, deblurring task remains an important demand for applications. With
the development of convolutional neural networks and Transformers, models like Restormer [59]
and SwinIR [32] used for deblurring tasks perform well. Nevertheless, our main concern is that the
performance of these models is not reliable as the blurry image lacks sufficient contextual information
to recover the corresponding clear image. When the blurry artifact is severe, models only input with
blurry images may fail."
INTRODUCTION,0.017699115044247787,"∗Equal contributors.
†Corresponding authors."
INTRODUCTION,0.022123893805309734,(a) Discrete Images from  Frame-based Camera
INTRODUCTION,0.02654867256637168,(b) Continuous Spikes from  Spike Camera
INTRODUCTION,0.030973451327433628,(c) Fusion of Spikes and Images for Deblurring
INTRODUCTION,0.035398230088495575,Exposure Window
INTRODUCTION,0.03982300884955752,"Figure 1: Illustration of the motivation of this paper. (a) The exposure window leads to motion blur
in frame-based cameras. (b) Continuous spikes can recover low-resolution gray images yet with high
temporal resolution. (c) Our method aims to fuse two modalities for motion deblurring."
INTRODUCTION,0.04424778761061947,"Neuromorphic vision sensors, including event cameras [1, 33] and spike cameras [16], have gained
recent attention due to advantages such as high temporal resolution, dynamic range, and low power
consumption. Event cameras capture changes in light intensity, while spike cameras record absolute
intensity in a unique way. They accumulate voltage converted from the light signal asynchronously
and emit spikes when a preset threshold is reached, achieving a time resolution of up to 40,000Hz.
Spike cameras are motion-sensitive and capture comprehensive texture information, offering the
potential to mitigate motion blur. However, the spike stream is not directly interpretable by humans
like RGB images. Initial research aimed at reconstructing grayscale images from spikes (see Fig. 1(b)).
Subsequent studies leveraged spikes for high-level vision tasks, including object tracking, optical
flow estimation, and depth estimation. Presently, spike cameras face challenges in these tasks due to
their lower spatial resolution and absence of color. We consider utilizing spike cameras to assist in
image deblurring. Our intuition is that the information in the RGB images and the neuromorphic data
are complementary. The image domain contains rich spatial texture information with high-fidelity
color, while the neuromorphic domain provides abundant temporal information [72, 9] promises them
to record fast motions. Some studies utilize event cameras to assist image deblurring [57, 63, 49].
However, most event-based methods unidirectionally utilize information from the event domain to
assist the image domain, without achieving the complementarity of information from both domains.
Unlike event cameras, spike cameras maintain high temporal resolution while also recording texture
information in the form of spike intervals [72]. The complete texture information, as opposed to
solely motion edge information, can offer more valuable cues for deblurring tasks. As shown in
Fig. 1(c), we aim to simultaneously consider the bidirectional transmission of information from both
modalities, thereby achieving more efficient motion deblurring."
INTRODUCTION,0.048672566371681415,"Therefore, we propose the first spike-based RGB image deblurring model named SpkDeblurNet. The
model takes high-resolution blurry RGB images and low-resolution spike streams as input, each of
which passes through one Transformer-based branch. We design a content-aware motion-magnitude
attention module to fuse the high-resolution features in images into the spike branch. We further
propose transposed cross-attention to perform a bidirectional fusion of cross-modal features between
two branches. Moreover, we establish two high-quality datasets Spk-X4K1000FPS and Spk-GoPro
for both training and validation. In experiments, we compare with various deblurring methods and
prove the effective assistance of spikes. The complementarity of the two modalities is also verified.
Our contributions to this work can be summarized as follows:"
INTRODUCTION,0.05309734513274336,"• We propose the first spike-based motion deblurring model with bidirectional information
complementarity. Specifically, we propose a content-aware motion magnitude attention
module based on learnable mask to utilize effective information in blurry images. A
transposed cross-attention fusion module is built to efficiently fuse features from spikes and
blurry RGB images.
• We generate two large-scale synthesized datasets used for training and validation, which
contain high-temporal-resolution spikes, blurry images, and sharp images.
• Experimental results demonstrate that the proposed method achieves ideal results, outper-
forming other deblurring methods."
RELATED WORKS,0.05752212389380531,"2
Related Works"
RELATED WORKS,0.061946902654867256,"Research on Spike Camera. Spike cameras possess the advantages of ultra-high temporal resolution
and high dynamic range, which bring the potential to solve various visual tasks, especially in
high-speed scenes. Early studies focus on recovering clear gray-scale images from spikes. Zhu et
al. [72] propose the first work by directly analyzing the spike firing rate and the inter-spike interval.
Some works [73, 69] take biological plausibility into consideration. Spk2imgnet [65] achieves
satisfying performance by training deep convolutional neural networks (CNNs) in a supervised
manner. Chen et al. [5] introduce the self-supervised framework. Besides, some studies [56, 64]
explore recovering super-resolution images from spikes. Recently, more researchers have used
spike cameras to solve various visual tasks. Zhao et al. [66] build a new spike-based dataset
for object recognition. Zheng et al. [68] propose a bio-inspired framework for object tracking.
Hu et al. [15] contribute to spike-based optical flow estimation by proposing the SCFlow net and
new datasets. Zhao et al. [67] proposed to jointly estimate a series of flow fields. Chen et al.[6]
propose a self-supervised framework for joint learning of optical flow and reconstruction. Besides,
Spike Transformer [62] and SSDEFormer [53] are proposed for monocular/stereo depth estimation.
Additionally, we observed similarities between single-photon cameras (SPCs) and spike cameras in
their binary output. Nonetheless, SPCs predominantly depends on single-photon avalanche diode
(SPAD) detector [35, 17, 27] or quanta image sensors (QIS) [38, 7, 2, 13], while the spike camera is
based on CMOS sensors like traditional cameras and employs standard semiconductor manufacturing
processes, rendering them fundamentally distinct, with the latter being more cost-efficient."
RELATED WORKS,0.06637168141592921,"Frame-Based Motion Deblurring. Traditional frame-based motion deblurring methods typically
employ optimization techniques [12, 24, 29, 30, 58] and blur kernel estimation [28, 55, 42, 21]. In
recent years, with the advancement of deep learning, end-to-end approaches based on CNNs and
transformers have demonstrated impressive performance in image deblurring. Multi-scale [39, 50],
multi-stage [61, 4], and progressive strategies [8] have been proposed to improve the effectiveness
of end-to-end training. Some works [25, 26] proposed to utilize Generative Adversarial Networks
(GANs) to provide better human perception. On the other hand, universal networks [3, 31, 32, 54, 61,
59, 60, 4] have been introduced to address a series of low-level problems including image deblurring.
Further research applied the powerful transformer framework [54, 31, 32, 59, 23] to motion debluring,
achieving state-of-the-art (SOTA) performance. Unlike the conventional one-to-one mapping from
a blurry image to a single sharp image, blurry frame interpolation or blur decomposition aims to
recover multiple sharp images from a single blurry image [20, 19, 44, 45, 40, 70]. Additionally,
directional ambiguity can be avoided in methods based on blurry video inputs [19, 44, 45, 40, 70]
due to the motion cues of adjacent frames."
RELATED WORKS,0.07079646017699115,"Event-Based Motion Deblurring. There has been increasing interest in utilizing event cameras to
assist image deblurring. Several works [18, 43] utilized optical flow to provide motion information.
NEST [51] proposed an efficient event representation based on bidirectional LSTM for deblurring.
Kim et al. [22] extended the task to images with unknown exposure time. EFNet [48] introduced
a multi-head attention module to better fuse event and image information. Some works [34, 41,
52, 49, 63, 57] have utilized events to assist blurry frame interpolation or blur decomposition.
In addition, a series of high-quality event-image datasets have been proposed [51, 49, 18, 48],
providing convenience for subsequent research. Most event-based methods merely utilize event-based
information to assist the image domain task. In this paper, we aim to use the bidirectional transmission
of information from both modalities to achieve more efficient motion deblurring."
METHODS,0.0752212389380531,"3
Methods"
SPIKE GENERATION MECHANISM,0.07964601769911504,"3.1
Spike Generation Mechanism"
