Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.003937007874015748,"We consider a remote Contextual Multi-Armed Bandit (CMAB) problem, in
which the decision-maker observes the context and the reward, but must communi-
cate the actions to be taken by the agents over a rate-limited communication chan-
nel. This can model, for example, a personalized ad placement application, where
the content owner observes the individual visitors to its website, and hence has the
context information, but must convey the ads that must be shown to each visitor
to a separate entity that manages the marketing content. In this Rate-Constrained
CMAB (RC-CMAB) problem, the constraint on the communication rate between
the decision-maker and the agents imposes a trade-off between the number of bits
sent per agent and the acquired average reward. We are particularly interested in
the scenario in which the number of agents and the number of possible actions are
large, while the communication budget is limited. Consequently, it can be consid-
ered as a policy compression problem, where the distortion metric is induced by
the learning objectives. We ﬁrst consider the fundamental information theoretic
limits of this problem by letting the number of agents go to inﬁnity, and study
the regret that can be achieved. In particular, we identify two distinct rate regions
resulting in linear and sub-linear regret behaviour, respectively. Then, we propose
a practical coding scheme, and provide numerical results for the achieved regret."
INTRODUCTION,0.007874015748031496,"1
INTRODUCTION"
INTRODUCTION,0.011811023622047244,"In the last few years, synergies between Machine Learning (ML) and communication networks have
attracted a lot of interest in the research community, thanks to the fruitful interplay of the two ﬁelds
in emerging applications from Internet of things (IoT) to autonomous vehicles and other edge ser-
vices. In most of these applications, both the generated data and the processing power is distributed
across a network of physically distant devices, thus a reliable communication infrastructure is piv-
otal to run ML algorithms that can leverage the collected distributed knowledge (Park et al., 2019).
To this end, a lot of recent works have tried to redesign networks and to efﬁciently represent infor-
mation to support distributed ML applications, where the activities of data collection, processing,
learning and inference are performed in different geographical locations, and should consider limited
communication, memory, or processing resources, as well as addressing privacy issues."
INTRODUCTION,0.015748031496062992,"In contrast to the insatiable growth in our desire to gather more data and intelligence, available com-
munication resources (bandwidth and power, in particular) are highly limited, and must be shared
among many different devices and applications. This requires the design of highly communication-
efﬁcient distributed learning algorithms , particularly for edge applications. Information theory, in
particular the rate-distortion theory, have laid the fundamental limits of efﬁcient data compression
with the aim to reconstructing the source signal with the highest ﬁdelity (Cover & Thomas, 2006b).
However, in the aforementioned applications, the goal is often not to reconstruct the source signal,
but to make some inference based on that. This requires task-oriented compression, ﬁltering out the
unnecessary information for the target application, and thus decreasing the number of bits that have
to be transmitted over the communication networks. This approach should target the questions of
what is the most useful information that has to be sent, and how to represent it, in order to meet the
application requirements consuming the minimum amount of network resources."
INTRODUCTION,0.01968503937007874,"Our goal in this paper is to investigate a theoretically grounded method to efﬁciently transmit data in
a Contextual Multi-Armed Bandit (CMAB) problem, in which the context information is available to"
INTRODUCTION,0.023622047244094488,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.027559055118110236,"a decision-maker, whereas the actions can be taken by a remote entity, called controller, controlling a
multitude of agents. We assume that a limited communication link is available between the decision-
maker and the controller to communicate at each round the intended actions. The controller must
decide on the actions to take based on the message received over the channel, while the decision-
maker observes the rewards at each round, and updates its policy accordingly."
INTRODUCTION,0.031496062992125984,"This scenario can model, for example, a personalized ad placement application, where the content
owner observes the individual visitors to its website; and hence, has the context information, but
must convey the ads that must be shown to each visitor to a separate entity that manages the mar-
keting content. This will require communicating hundreds or thousands of adds to be placed at
each round, from among a large set of possible adds, within the communication resource and de-
lay constraints of the underlying communication channel, which is quantiﬁed as the number of bits
available per agent. This problem may arise in other similar applications of CMABs with commu-
nication constraints between the decision-maker and the controller (Bouneffouf & Rish, 2019)."
RELATED WORK,0.03543307086614173,"1.1
RELATED WORK"
RELATED WORK,0.03937007874015748,"Given the amount of data that is generated by machines, sensors and mobile devices, the design of
distributed learning algorithms is a hot topic in the ML literature. These algorithms often impose
communication constraints among agents, requiring the design of methods that would allow efﬁcient
representation of messages to be exchanged. While rate-distortion theory deals with efﬁcient lossy
transmission of signals (Cover & Thomas, 2006b), in ML applications, we typically do not need to
reconstruct the underlying signal, but make some inference based on that. These applications can be
modeled through distributed hypothesis testing (Berger, Sep. 1979; Ahlswede & Csisz´ar, 1986) and
estimation (Zhang et al., 2013; Xu & Raginsky, 2017) problems under rate constraints."
RELATED WORK,0.04330708661417323,"In parallel to the theoretical rate-distortion analysis, signiﬁcant research efforts have been invested
in the design of practical data compression algorithms, focusing on speciﬁc information sources,
such as JPEG and BPG for image compression, or MPEG and H.264 for video compression. While
adapting these tools to speciﬁc inference tasks is difﬁcult, recently deep learning techniques have
been employed to learn task-speciﬁc compression algorithms (Torfason et al., 2018; Jankowski et al.,
2021), which achieve signiﬁcant efﬁciency by bypassing image reconstruction."
RELATED WORK,0.047244094488188976,"While the above mainly focus on the inference task through supervised learning, here we con-
sider the CMAB problem. There is a growing literature on multi-agent Reinforcement Learning
(RL) problems with communication links (Foerster et al., 2016; Sukhbaatar et al., 2016; Havrylov
& Titov, 2017; Lazaridou et al., 2017). These papers consider a multi-agent partially observable
Markov decision process (POMDP), where the agents collaborate to resolve a speciﬁc task. In ad-
dition to the usual reward signals, agents can also beneﬁt from the available communication links
to better cooperate and coordinate their actions. It is shown that communication can help overcome
the inherent non-stationarity of the multi-agent environment. Our problem can be considered as
a special case of this general RL formulation, where the state at each time is independent of the
past states and actions. Moreover, we focus on a particular setting in which the communication is
one-way, from the decision-maker that observes the state and the reward, towards the controller that
takes the actions. This formulation is different from the existing results in the literature involving
multi-agent Multi-Armed Bandit (MAB). In Agarwal et al. (2021), each agent can pull an arm and
communicate with others. They do not consider the contextual case, and focus on a particular com-
munication scheme, where each agent shares the index of the best arm according to its experience.
Another related formulation is proposed in Hanna et al. (2021), where a pool of agents collaborate
to solve a common MAB problem with a rate-constrained communication channel from the agents
to the server. In this case, agents observe their rewards and upload them to the server, which in turn
updates the policy used to instruct them. In Park & Faradonbeh (2021), the authors consider a par-
tially observable CMAB scenario, where the agent has only partial information about the context.
However, this paper does not consider any communication constraint, and the partial/ noisy view
of the context is generated by nature. Differently from the existing literature, our goal here is to
identify the fundamental information theoretic limits of learning with communication constraints in
this particular scenario."
RELATED WORK,0.051181102362204724,Under review as a conference paper at ICLR 2022
PROBLEM FORMULATION,0.05511811023622047,"2
PROBLEM FORMULATION"
PROBLEM FORMULATION,0.05905511811023622,"2.1
CONTEXTUAL MULTI-ARMED BANDIT (CMAB) PROBLEM"
PROBLEM FORMULATION,0.06299212598425197,"We consider N agents, which experience independent realizations of the same CMAB problem. The
CMAB is a sequential decision game in which the environment imposes a probability distribution
PS over a set of contexts, or states, S, which is ﬁnite in our case. The game proceeds in rounds, and
at each round t = 1, . . . , T, a realization of the state st,i ∈S is sampled from the distribution PS for
each agent i ∈{1, . . . , N}. At each time step t, and for each agent i, states are sampled iid according
to PS . In the usual CMAB setting, the decision-maker would observe the states {st,i}N
i=1 of the
agents, and choose an action (or arm) at,i ∈{1, . . . , K} = A, for each agent, where K is the total
number of available actions, with probability πt,i(at,i|st,i) given by a (possibly) stochastic policy
πt : S →∆K. Here ∆K is the K-dimensional simplex, containing all possible distributions over the
set of actions. Once the actions have been taken by all the agents, at each round t the environment
returns rewards for all the agents following independent realizations of the same reward process,
rt,i = r(st,i, at,i) ∼PR(r|st,i, at,i),
∀i ∈{1, . . . , N}, which depends on the state and the action
of the corresponding agent. Based on the history of returns up to round t −1, the decision-maker
can optimize its policy to maximize the sum of the rewards G = PT
t=1
PN
i=1 rt,i."
RATE-CONSTRAINED CMAB,0.06692913385826772,"2.2
RATE-CONSTRAINED CMAB"
RATE-CONSTRAINED CMAB,0.07086614173228346,"In our modiﬁed version, the process of observing the system states is spatially separated from
the process of taking the actions.
The environment states, {st,i}N
i=1, are observed by a cen-
tral entity, called the decision-maker, that has to communicate to the controller over a rate-
constrained communication channel, at each round t, the information about the actions {at,i}N
i=1
the agents should take.
The decision-maker can exploit the knowledge accumulated from the
states and rewards observed by all the agents up to round t −1, denoted by H(t −1) =
n
({s1,i}N
i=1 , {a1,i}N
i=1 , {r1,i}N
i=1), . . . , ({st−1,i}N
i=1 , {at−1,i}N
i=1 , {rt−1,i}N
i=1),
o
∈H(t−1), to
optimize the policy to be used at round t. Consequently, the problem is to communicate the ac-
tion distribution, i.e., the policy πt(a|st), which depends on the speciﬁc state realizations observed
in round t, to the controller within the available communication resources while inciting the minimal
impact on the performance of the learning algorithm."
RATE-CONSTRAINED CMAB,0.07480314960629922,"Speciﬁcally, the decision-maker employs function f (N)
t
: H(t−1) ×SN →{1, 2, . . . , B} to map the
history up to time t and the states of the agents at time t to a message index to be transmitted over
the channel. The controller, on the other hand, employs a function g(N)
t
: {1, 2, . . . , B} →AN to
map the received message to a set of actions for the agents. In general, both functions f (N)
t
and g(N)
t
can be stochastic. Average per period regret achieved by sequences
n
f (N)
t
, g(N)
t
oT"
RATE-CONSTRAINED CMAB,0.07874015748031496,t=1 is given by
RATE-CONSTRAINED CMAB,0.08267716535433071,"ρ(N)(T) = 1 T E "" T
X t=1 N
X"
RATE-CONSTRAINED CMAB,0.08661417322834646,"i=1
r(st,i, a∗(st,i) −r(st,i, at) # ,
(1)"
RATE-CONSTRAINED CMAB,0.09055118110236221,"where at,i
=
gt,i(m(t)) is the action taken by agent i based on message m(t)
="
RATE-CONSTRAINED CMAB,0.09448818897637795,"f (N)
t

H(t −1), {st,i}N
i=1

transmitted in round t, a∗(st,i) is the action with maximum mean re-
ward in state st,i, i.e., the optimal action, and the expectation is taken with respect to the state distri-
bution PS and reward distribution PR. We say that, for a given time period T and N agents, an av-"
RATE-CONSTRAINED CMAB,0.0984251968503937,"erage regret- communication rate pair (ρ, R) is achievable if there exist functions
n
f (N)
t
, g(N)
t
oT"
RATE-CONSTRAINED CMAB,0.10236220472440945,"t=1
as deﬁned above with rate 1"
RATE-CONSTRAINED CMAB,0.1062992125984252,N log2 B ≤R and regret ρ(N)(T) ≤ρ.
RATE-CONSTRAINED CMAB,0.11023622047244094,"If a sufﬁciently large rate is available for communication, i.e., R ≥log K, then the intended action
for each agent can be reliably conveyed to the controller. Otherwise, to achieve the learning goal
while satisfying the rate constraint, the decision-maker must apply a lossy compression scheme,
such that the action distribution adopted by the pool of agents resembles the intended policy as
much as possible."
RATE-CONSTRAINED CMAB,0.1141732283464567,Under review as a conference paper at ICLR 2022
RATE-CONSTRAINED CMAB,0.11811023622047244,Figure 1: The problem of communicating policies.
SOLUTION,0.1220472440944882,"3
SOLUTION"
SOLUTION,0.12598425196850394,"In this section, we present the proposed solution to the problem. First of all, we brieﬂy discuss the
algorithm adopted by the decision-maker to solve the CMAB. Then, the communication scheme for
the RC-CMAB with a particular distortion function is provided, which is inherited by the learning
task. We then identify two distinct rate regions resulting in linear and sub-linear regret, and propose
a more practical coding scheme."
THOMPSON SAMPLING,0.12992125984251968,"3.1
THOMPSON SAMPLING"
THOMPSON SAMPLING,0.13385826771653545,"In the proposed solution to the CMAB problem, the decision-maker adopts Thompson Sampling
(TS) Thompson (1935). In particular, it makes use of one TS instance for each state s ∈S. Con-
sequently, the decision-maker maintains an estimate of the distribution ps,a
t (µ) of the mean reward
µs,a ∈D ⊆R of action a in state s at time t. To take the decision in state st, the decision-
maker would sample µst,a
t
∼pst,a
t
, ∀a ∈A, and takes the action a∗= arg maxa∈A{µst,a
t
}. This
procedure is repeated for each agent i ∈{1, . . . , N}. After receiving the rewards {rt,i}N
i=1, the
decision-maker can update its belief on µs,a, i.e., the probabilities ps,a
t (µ), in order to minimize
the regret. We notice that this strategy induces a probability distribution πt(a|s) over the actions
that is πt(a|s) =
R"
THOMPSON SAMPLING,0.1377952755905512,"D ps,a
t (µ) QK
j=1,j̸=a P s,j
t
(µ)dµ, where P s,j
t
(µ) is the Cumulative Distribution
Function (CDF) of µj, where the random variables µs,a are considered independently distributed.
However, the constraint on the rate imposed by the RC-CMAB formulation makes it infeasible for
the decision-maker to sample, through the pool of agents, the actions directly from the true distribu-
tion πt(a|s). The agents have to use a proxy Qt(a|s), which is the one obtained from the message
received. This problem is similar to approximate TS, where a proxy distribution is used to sample
the actions, or the reward means, given that the true distribution is too complex to sample from. In
that case, the bottleneck is given by the complexity of the mean reward distributions, whereas in this
work, it is imposed by the limited-rate communication channel between the decision-maker and the
controller."
OPTIMAL SOLUTION FOR THE RC-CMAB,0.14173228346456693,"3.2
OPTIMAL SOLUTION FOR THE RC-CMAB"
OPTIMAL SOLUTION FOR THE RC-CMAB,0.14566929133858267,"We model the environment as a Discrete Memoryless Source (DMS), that generates states from a
ﬁnite alphabet S with probability PS, emitting sequences of N symbols sN = (s1, . . . , sN), one per
agent. We then denote with ˆQsN (m) the empirical probability of state m in sN. We also consider
the sequence of actions aN, and denote with ˆQzN (m, j) the empirical joint probability of the pair
(m, j) in zN = ((s1, a1), . . . , (sN, aN)). The whole picture can be seen in Fig. 1. In the ﬁgure
above, the actions taken by the agents are denoted by ˆa to indicate that they can differ from a.
However, we are interested in the probability distributions generating the sequences, thus we will
denote with A the random variables indicating both the actions at the controller and decision-maker
side. We assume that the distribution PS is known (or accurately estimated)."
OPTIMAL SOLUTION FOR THE RC-CMAB,0.14960629921259844,"The decision-maker can observe the realization sN of the contexts, and its task is to transmit an
index u ∈{1, . . . , B}, and the agents can generate from u a sequence aN, such that ˆQsNaN is close
to PSA(sa) = PS(s)π(a|s), where closeness depends on a distortion measure E[d( ˆQSNAN , PSA)],
which in general is not an average of a per-letter distortion measure. The problem is a compression
task in which the server has complete (or partial) knowledge of the states sN, and wants to transmit
a conditional probability distribution πA|S to the agents, consuming the minimum amount of bits,
in such a way that the empirical distributions ˆQsNaN given by the sequence induced by the agents"
OPTIMAL SOLUTION FOR THE RC-CMAB,0.15354330708661418,Under review as a conference paper at ICLR 2022
OPTIMAL SOLUTION FOR THE RC-CMAB,0.15748031496062992,"is close to the joint distribution PSA induced by the policy. For a distortion function d(QSA, PSA)
that is 1) nonnegative, 2) upper bounded by a constant Dmax, 3) continuous in QSA, and 4) convex
in QSA, in Kramer & Savari (2007), the authors provide the rate-distortion function R(D), i.e., the
minimum rate R = log2 B"
OPTIMAL SOLUTION FOR THE RC-CMAB,0.16141732283464566,"N
bits per symbol such that E[d( ˆQSNAN , PSA)] ≤D, in the limit when N
is arbitrarily large. The solution is given by"
OPTIMAL SOLUTION FOR THE RC-CMAB,0.16535433070866143,"R(D) =
min
QA|S:d(QSA,PSA)≤D I(S; A),
(2)"
OPTIMAL SOLUTION FOR THE RC-CMAB,0.16929133858267717,"where QSA = PSQA|S is the joint probability induced by the environment distribution PS and
policy QA|S, which depends on the information sent by the decision-maker. As we can see, in the
asymptotic limit of N agents, the problem admits a single-letter solution, which also serves as a
lower bound on the ﬁnite agent scenario. The studied RC-CMAB model described in Sec. 2.2 ﬁts
into this framework, and in the following section we identify an appropriate distortion function and
provide its characterization."
THE KL-DIVERGENCE AS DISTORTION FUNCTION,0.1732283464566929,"3.3
THE KL-DIVERGENCE AS DISTORTION FUNCTION"
THE KL-DIVERGENCE AS DISTORTION FUNCTION,0.17716535433070865,"When applying TS to the RC-CMAB problem with limited communication rate, the decision-maker
may not be able to induce the controller to take samples from the true policy πs,a
t
. In Phan et al.
(2019), the authors provide some theoretical guidelines to construct approximate sampling policies
to make the posteriors, i.e., ps,a
t , concentrate achieving sub-linear regret. In particular, they studied
the case in which the sampling distribution Q differs from the target posterior π, using Dα(π, Q) as
distortion measure, which denotes the α-divergence between the two, and is deﬁned as"
THE KL-DIVERGENCE AS DISTORTION FUNCTION,0.18110236220472442,"Dα(π, Q) = 1 −
R
π(x)αQ(x)1−αdx"
THE KL-DIVERGENCE AS DISTORTION FUNCTION,0.18503937007874016,"α(1 −α
.
(3)"
