Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0009009009009009009,"Unsupervised Environment Design (UED) is a paradigm that automatically gen-
1"
ABSTRACT,0.0018018018018018018,"erates a curriculum of training environments, enabling agents trained in these
2"
ABSTRACT,0.002702702702702703,"environments to develop general capabilities, i.e., achieving good zero-shot transfer
3"
ABSTRACT,0.0036036036036036037,"performance. However, existing UED approaches focus primarily on the random
4"
ABSTRACT,0.0045045045045045045,"generation of environments for open-ended agent training. This is impractical
5"
ABSTRACT,0.005405405405405406,"in resource-limited scenarios where there is a constraint on the number of envi-
6"
ABSTRACT,0.006306306306306306,"ronments that can be generated. In this paper, we introduce a hierarchical MDP
7"
ABSTRACT,0.007207207207207207,"framework for environment design under resource constraints. It consists of an
8"
ABSTRACT,0.008108108108108109,"upper-level RL teacher agent that generates suitable training environments for a
9"
ABSTRACT,0.009009009009009009,"lower-level student agent. The RL teacher can leverage previously discovered
10"
ABSTRACT,0.00990990990990991,"environment structures and generate environments at the frontier of the student’s
11"
ABSTRACT,0.010810810810810811,"capabilities by observing the student policy’s representation. Additionally, to alle-
12"
ABSTRACT,0.011711711711711712,"viate the time-consuming process of collecting the experience of the upper-level
13"
ABSTRACT,0.012612612612612612,"teacher, we utilize recent advances in generative modeling to synthesize a trajec-
14"
ABSTRACT,0.013513513513513514,"tory dataset for training the teacher agent. Our method significantly reduces the
15"
ABSTRACT,0.014414414414414415,"resource-intensive interactions between agents and environments, and empirical
16"
ABSTRACT,0.015315315315315315,"experiments across various domains demonstrate the effectiveness of our approach.
17"
INTRODUCTION,0.016216216216216217,"1
Introduction
18"
INTRODUCTION,0.017117117117117116,"The advances of reinforcement learning (RL) [17] have promoted research into the problem of
19"
INTRODUCTION,0.018018018018018018,"training autonomous agents that are capable of accomplishing complex tasks. One interesting, yet
20"
INTRODUCTION,0.01891891891891892,"underexplored, area is training agents to perform well in unseen environments, a concept referred to
21"
INTRODUCTION,0.01981981981981982,"as zero-shot transfer performance. To this end, Unsupervised Environment Design (UED) [3] has
22"
INTRODUCTION,0.02072072072072072,"emerged as a promising paradigm to address this problem. The objective of UED is to automatically
23"
INTRODUCTION,0.021621621621621623,"generate environments in a curriculum-based manner, and training agents in these sequentially
24"
INTRODUCTION,0.02252252252252252,"generated environments can equip agents with general capabilities, enabling agents to learn robust
25"
INTRODUCTION,0.023423423423423424,"and adaptive behaviors that can be transferred to new scenarios without explicit exposure during
26"
INTRODUCTION,0.024324324324324326,"training.
27"
INTRODUCTION,0.025225225225225224,"Existing approaches in UED primarily focus on building an adaptive curriculum for the environment
28"
INTRODUCTION,0.026126126126126126,"generation process to train the generally capable agent. Dennis et al. [3] formalize the problem of
29"
INTRODUCTION,0.02702702702702703,"finding adaptive curricula through a game involving an adversarial environment generator (teacher
30"
INTRODUCTION,0.027927927927927927,"agent), an antagonist agent (expert agent), and the protagonist agent (student agent). The RL-based
31"
INTRODUCTION,0.02882882882882883,"teacher is designed to generate environments that maximize regret, defined as the difference between
32"
INTRODUCTION,0.02972972972972973,"the protagonist and antagonist agent’s expected rewards. They show that these agents will reach
33"
INTRODUCTION,0.03063063063063063,"a Nash Equilibrium where the student agent learns the minimax regret policy. However, since the
34"
INTRODUCTION,0.03153153153153153,"teacher agent adapts solely based on the regret feedback, it is inherently difficult to adapt to student
35"
INTRODUCTION,0.032432432432432434,"policy changes. Meanwhile, training such an RL-based teacher remains a challenge because of the
36"
INTRODUCTION,0.03333333333333333,"high computational cost of training an expert antagonist agent for each environment.
37"
INTRODUCTION,0.03423423423423423,"In contrast, domain randomization [19] based approaches circumvent the overhead of developing
38"
INTRODUCTION,0.03513513513513514,"an RL teacher by training agents in randomly generated environments, resulting in good empirical
39"
INTRODUCTION,0.036036036036036036,"performances. Building upon this, Jiang et al. [7] introduce an emergent curriculum by sampling
40"
INTRODUCTION,0.036936936936936934,"randomly generated environments with high regret value 1 to train the agent. Parker-Holder et al.
41"
INTRODUCTION,0.03783783783783784,"[10] then propose the adaptive curricula by manually designing a principled, regret-based curriculum,
42"
INTRODUCTION,0.03873873873873874,"which involves generating random environments with increasing complexity. While these domain
43"
INTRODUCTION,0.03963963963963964,"randomization-based algorithms have demonstrated good zero-shot transfer performance, they face
44"
INTRODUCTION,0.04054054054054054,"limitations in efficiently exploring large environment design spaces and exploiting the inherent
45"
INTRODUCTION,0.04144144144144144,"structure of previously discovered environments. Moreover, existing UED approaches typically
46"
INTRODUCTION,0.04234234234234234,"rely on open-ended learning, necessitating a long training horizon, which is unrealistic in the real
47"
INTRODUCTION,0.043243243243243246,"world due to resource constraints. Our goal is to develop a teacher policy capable of generating
48"
INTRODUCTION,0.044144144144144144,"environments that are perfectly matched to the current skill levels of student agents, thereby allowing
49"
INTRODUCTION,0.04504504504504504,"students to achieve optimal general capability within a strict budget for the number of environments
50"
INTRODUCTION,0.04594594594594595,"generated and within a shorter training time horizon.
51"
INTRODUCTION,0.04684684684684685,"In this paper, we address these challenges by introducing a novel, adaptive environment design
52"
INTRODUCTION,0.047747747747747746,"framework. The core idea involves using a hierarchical Markov Decision Process (MDP) to simul-
53"
INTRODUCTION,0.04864864864864865,"taneously formulate the evolution of an upper-level teacher agent, tasked with generating suitable
54"
INTRODUCTION,0.04954954954954955,"environments to train the lower-level student agent to achieve general capabilities. To accurately
55"
INTRODUCTION,0.05045045045045045,"guide the generation of environments at the frontier of the student agent’s current capabilities, we
56"
INTRODUCTION,0.051351351351351354,"propose approximating the student agent’s policy/capability by its performances across a set of diverse
57"
INTRODUCTION,0.05225225225225225,"evaluation environments, which acts as the state abstraction for the teacher’s decision-making process.
58"
INTRODUCTION,0.05315315315315315,"The transitions in the teacher’s state represent the trajectories of the student agent’s capability after
59"
INTRODUCTION,0.05405405405405406,"training in the generated environment. However, collecting experience for the upper-level teacher
60"
INTRODUCTION,0.054954954954954956,"agent is slow and resource-intensive, since each upper-level MDP transition evolves a complete
61"
INTRODUCTION,0.055855855855855854,"training cycle of the student agent on the generated environment. To accelerate the collection of
62"
INTRODUCTION,0.05675675675675676,"upper-level MDP experiences, we utilize advances in diffusion models that can generate new data
63"
INTRODUCTION,0.05765765765765766,"points capturing complex distribution properties, such as skewness and multi-modality, exhibited
64"
INTRODUCTION,0.05855855855855856,"in the collected dataset [11]. Specifically, we employ diffusion probabilistic model [15, 6] to learn
65"
INTRODUCTION,0.05945945945945946,"the evolution trajectory of student policy/capability and generate synthetic experiences to enhance
66"
INTRODUCTION,0.06036036036036036,"the training efficiency of the teacher agent. Our method, called Synthetically-enhanced Hierarchical
67"
INTRODUCTION,0.06126126126126126,"Environment Design (SHED), automatically generates increasingly complex environments suited to
68"
INTRODUCTION,0.062162162162162166,"the current capabilities of student agents.
69"
INTRODUCTION,0.06306306306306306,"In summary, we make the following contributions:
70"
INTRODUCTION,0.06396396396396396,"• We develop a novel hierarchical MDP framework for UED that introduces a straightforward method
71"
INTRODUCTION,0.06486486486486487,"to represent the current capability level of the student agent.
72"
INTRODUCTION,0.06576576576576576,"• We introduce SHED, which utilizes diffusion-based techniques to generate synthetic experiences.
73"
INTRODUCTION,0.06666666666666667,"This method can accelerate the training of the off-policy teacher agent.
74"
INTRODUCTION,0.06756756756756757,"• We demonstrate that our method outperforms existing UED approaches (i.e., achieving a better
75"
INTRODUCTION,0.06846846846846846,"general capability under resource constraints) in different task domains.
76"
PRELIMINARIES,0.06936936936936937,"2
Preliminaries
77"
PRELIMINARIES,0.07027027027027027,"In this section, we provide an overview of two main research areas upon which our work is based.
78"
UNSUPERVISED ENVIRONMENT DESIGN,0.07117117117117117,"2.1
Unsupervised Environment Design
79"
UNSUPERVISED ENVIRONMENT DESIGN,0.07207207207207207,"The objective of UED is to generate a sequence of environments that effectively train the student
agent to achieve a general capability. Dennis et al. [3] first model UED with an Underspecified
Partially Observable Markov Decision Process (UPOMDP), which is a tuple"
UNSUPERVISED ENVIRONMENT DESIGN,0.07297297297297298,"M =< A, O, Θ, SM, PM, IM, RM, γ >"
UNSUPERVISED ENVIRONMENT DESIGN,0.07387387387387387,1They approximate the regret value by the Generalized Advantage Estimate [12].
UNSUPERVISED ENVIRONMENT DESIGN,0.07477477477477477,". The UPOMDP has a set Θ representing the free parameters of the environments, which are
80"
UNSUPERVISED ENVIRONMENT DESIGN,0.07567567567567568,"determined by the teacher agent and can be distinct to generate the next new environment. Further,
81"
UNSUPERVISED ENVIRONMENT DESIGN,0.07657657657657657,"these parameters are incorporated into the environment-dependent transition function PM : S × A ×
82"
UNSUPERVISED ENVIRONMENT DESIGN,0.07747747747747748,"Θ →S. Here A represents the set of actions, S is the set of states. Similarly, IM : S →O is the
83"
UNSUPERVISED ENVIRONMENT DESIGN,0.07837837837837838,"environment-dependent observation function, RM is the reward function, and γ is the discount factor.
84"
UNSUPERVISED ENVIRONMENT DESIGN,0.07927927927927927,"Specifically, given the environment parameters ⃗θ ∈Θ, we denote the corresponding environment
85"
UNSUPERVISED ENVIRONMENT DESIGN,0.08018018018018018,"instance as M⃗θ. The student policy π is trained to maximize the cumulative rewards V M⃗θ(π) =
86
PT
t=0 γtrt in the given environment M⃗θ under a time horizon T, and rt are the collected rewards
87"
UNSUPERVISED ENVIRONMENT DESIGN,0.08108108108108109,"in M⃗θ. Existing works on UED consist of two main strands: the RL-based environment generation
88"
UNSUPERVISED ENVIRONMENT DESIGN,0.08198198198198198,"approach and the domain randomization-based environment generation approach.
89"
UNSUPERVISED ENVIRONMENT DESIGN,0.08288288288288288,"The RL-based generation approach was first formalized by Dennis et al. [3] as a self-supervised RL
90"
UNSUPERVISED ENVIRONMENT DESIGN,0.08378378378378379,"paradigm for generating environments. This approach involves co-evolving an environment generator
91"
UNSUPERVISED ENVIRONMENT DESIGN,0.08468468468468468,"policy (teacher) with an agent policy π (student), where the teacher’s role is to generate environment
92"
UNSUPERVISED ENVIRONMENT DESIGN,0.08558558558558559,"instances that best support the student agent’s continual learning. The teacher is trained to produce
93"
UNSUPERVISED ENVIRONMENT DESIGN,0.08648648648648649,"challenging yet solvable environments that maximize the regret measure, which is defined as the
94"
UNSUPERVISED ENVIRONMENT DESIGN,0.08738738738738738,"performance difference between the current student agent and a well-trained expert agent π∗within
95"
UNSUPERVISED ENVIRONMENT DESIGN,0.08828828828828829,"the current environment: RegretM⃗θ(π, π∗) = V M⃗θ(π∗) −V M⃗θ(π).
96"
UNSUPERVISED ENVIRONMENT DESIGN,0.0891891891891892,"The domain randomization-based generation approach, on the other hand, involves randomly generat-
97"
UNSUPERVISED ENVIRONMENT DESIGN,0.09009009009009009,"ing environments. Jiang et al. [7] propose to collect encountered environments with high learning
98"
UNSUPERVISED ENVIRONMENT DESIGN,0.09099099099099099,"potentials, which are approximated by the Generalized Advantage Estimation (GAE) [12], and then
99"
UNSUPERVISED ENVIRONMENT DESIGN,0.0918918918918919,"the student agent can selectively train in these environments, resulting in an emergent curriculum
100"
UNSUPERVISED ENVIRONMENT DESIGN,0.09279279279279279,"of increasing difficulty. Additionally, Parker-Holder et al. [10] adopt a different strategy by using
101"
UNSUPERVISED ENVIRONMENT DESIGN,0.0936936936936937,"predetermined starting points for the environment generation process and gradually increasing com-
102"
UNSUPERVISED ENVIRONMENT DESIGN,0.0945945945945946,"plexity. They manually divide the environment design space into different difficulty levels and employ
103"
UNSUPERVISED ENVIRONMENT DESIGN,0.09549549549549549,"human-defined edits to generate similar environments with high learning potentials. Their algorithm,
104"
UNSUPERVISED ENVIRONMENT DESIGN,0.0963963963963964,"ACCEL, is currently the state-of-the-art (SOTA) in the field, and we use an edited version of ACCEL
105"
UNSUPERVISED ENVIRONMENT DESIGN,0.0972972972972973,"as a baseline in our experiments.
106"
DIFFUSION PROBABILISTIC MODELS,0.0981981981981982,"2.2
Diffusion Probabilistic Models
107"
DIFFUSION PROBABILISTIC MODELS,0.0990990990990991,"Diffusion models [15] are a specific type of generative model that learns the data distribution.
108"
DIFFUSION PROBABILISTIC MODELS,0.1,"Recent advances in diffusion-based models, including Langevin dynamics and score-based generative
109"
DIFFUSION PROBABILISTIC MODELS,0.1009009009009009,"models, have shown promising results in various applications, such as time series forecasting [18],
110"
DIFFUSION PROBABILISTIC MODELS,0.1018018018018018,"robust learning [9], anomaly detection [21] as well as synthesizing high-quality images from text
111"
DIFFUSION PROBABILISTIC MODELS,0.10270270270270271,"descriptions [8, 11]. These models can be trained using standard optimization techniques, such as
112"
DIFFUSION PROBABILISTIC MODELS,0.1036036036036036,"stochastic gradient descent, making them highly scalable and easy to implement.
113"
DIFFUSION PROBABILISTIC MODELS,0.1045045045045045,"In a diffusion probabilistic model, we assume a d-dimensional random variable x0 ∈Rd with an
114"
DIFFUSION PROBABILISTIC MODELS,0.10540540540540541,"unknown distribution q(x0). Diffusion Probabilistic model involves two Markov chains: a predefined
115"
DIFFUSION PROBABILISTIC MODELS,0.1063063063063063,"forward chain q(xk|xk−1) that perturbs data to noise, and a trainable reverse chain pϕ(xk−1|xk) that
116"
DIFFUSION PROBABILISTIC MODELS,0.10720720720720721,"converts noise back to data. The forward chain is typically designed to transform any data distribution
117"
DIFFUSION PROBABILISTIC MODELS,0.10810810810810811,"into a simple prior distribution (e.g., standard Gaussian) by considering perturb data with Gaussian
118"
DIFFUSION PROBABILISTIC MODELS,0.109009009009009,"noise of zero mean and a fixed variance schedule {βk}K
k=1 for K steps:
119"
DIFFUSION PROBABILISTIC MODELS,0.10990990990990991,"q(xk|xk−1) = N(xk;
p"
DIFFUSION PROBABILISTIC MODELS,0.11081081081081082,"1 −βkxk−1, βtI)
and
q(x1:K|x0) = ΠK
k=1q(xk|xk−1),
(1)"
DIFFUSION PROBABILISTIC MODELS,0.11171171171171171,"where k ∈{1, . . . , K}, and 0 < β1:K < 1 denote the noise scale scheduling. As K →∞, xK
120"
DIFFUSION PROBABILISTIC MODELS,0.11261261261261261,"will converge to isometric Gaussian noise: xK →N(0, I). According to the rule of the sum of
121"
DIFFUSION PROBABILISTIC MODELS,0.11351351351351352,"normally distributed random variables, the choice of Gaussian noise provides a closed-form solution
122"
