Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0019723865877712033,"Model-based RL is an effective approach for reducing sample complexity. How-
ever, when it comes to multi-agent setting where the number of agent is large,
the model estimation can be problematic due to the exponential increased interac-
tions. In this paper, we propose a decentralized model-based reinforcement learn-
ing algorithm for networked multi-agent systems, where agents are cooperative
and communicate locally with their neighbors. We analyze our algorithm theo-
retically and derive an upper bound of performance discrepancy caused by model
usage, and provide a sufﬁcient condition of monotonic policy improvement. In our
experiments, we compare our algorithm against other strong multi-agent baselines
and demonstrate that our algorithm not only matches the asymptotic performance
of model-free methods but also largely increases its sample efﬁciency."
INTRODUCTION,0.0039447731755424065,"1
INTRODUCTION"
INTRODUCTION,0.005917159763313609,"Many real world problems, such as autonomous driving, wireless communications, multi-player
games can be modeled as multi-agent RL problems, where multiple autonomous agents coexist in a
common environment, aiming to maximize its individual or team reward in the long term by inter-
acting with the environment and other agents. Unlike single-agent tasks, multi-agent tasks are more
challenging, due to partial observations and unstable environments when agents update their policies
simultaneously. Therefore, there are hardly any one-ﬁts-all solutions for MARL problems. Exam-
ples include networked systems control (NSC) (Chu et al., 2020), in which agents are connected via
a stationary network. They perform decentralized control based on its local observations and mes-
sages from connected neighbors. Examples of networked systems include connected vehicle control
(Jin & Orosz, 2014), trafﬁc signal control (Chu et al., 2020), etc."
INTRODUCTION,0.007889546351084813,"Despite the success of multi-agent reinforcement (RL) algorithms, their performance relies on a
massive amount of model usage. Typically, a multi-agent RL algorithm needs millions of inter-
action with the environment to converge. On the other hand, model-based reinforcement learning
(MBRL) algorithms, which utilize predictive models of the environment to help data collection, are
empirically more data-efﬁcient than model-free approaches. Although model inaccuracy performs
as a bottleneck of policy quality in model-based algorithms, we can still learn a good policy with an
imperfect model (Luo et al., 2019), especially combined with the trick of branched rollout (Janner
et al., 2019) to limit model usage. Experimentally, MuZero (Schrittwieser et al., 2020), a model-
based RL algorithm, succeeded in matching the performance of AlphaZero on Go, chess and shogi,
and becomes state-of-the-art on Atari games. Model-based MARL is not fully investigated. Exist-
ing MB-MARL algorithms either limit their ﬁeld of research on speciﬁc scenario, e.g. two-player
zero-sum Markov game (Zhang et al., 2020) or pursuit evasion game (Bouzy & M´etivier, 2007),
or use tabular RL method (Bargiacchi et al., 2021). MB-MARL for multi-agent MDPs is still an
open problem to be solved (Zhang et al., 2019), with profound challenges such as scalability issues
caused by large state-action space and incomplete information of other agents’ state or actions."
INTRODUCTION,0.009861932938856016,"In this paper, we develop decentralized model-based algorithms on networked systems, where agents
are cooperative, and able to communicate with each other. We use localized models to predict future
states, and use communication to broadcast their predictions. To address the issue of model error,
we adopt branched rollout (Janner et al., 2019) to limit the rollout length of model trajectories. In
the policy optimization part, we use decentralizd PPO (Schulman et al., 2017) with a extended value
function. At last, we analyze these algorithms theoretically to bound the performance discrepancy"
INTRODUCTION,0.011834319526627219,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.013806706114398421,"between our method and its model-free, centralized counterpart. At last, we run these algorithms
in trafﬁc control environments (Chu et al., 2020; Vinitsky et al., 2018) to test the performance of
our algorithm. We show that our algorithm increases sample efﬁciency, and matches the asymptotic
performance of model-free methods."
INTRODUCTION,0.015779092702169626,"In summary, our contributions are three-fold.
Firstly, we propose an algorithmic framework,
which is a fully decentralized model-based reinforcement learning algorithm, which is named as
Decentralized Model-based Policy Optimization (DMPO). Secondly, we analyze the theoretical
performance of our algorithm. Lastly, empirical results on trafﬁc control environments demonstrate
the effectiveness of DMPO in reducing sample complexities and achieving similar asymptotic per-
formance of model-free methods."
RELATED WORK,0.01775147928994083,"2
RELATED WORK"
RELATED WORK,0.01972386587771203,"Model-based methods are known for their data efﬁciency (Kaelbling et al., 1996), especially com-
pared with model-free algorithms. There is a vast literature on the theoretical analysis of model-
based reinforcement learning. In a single-agent scenario, monotonic improvement of policy op-
timization has been achieved (Luo et al., 2019; Sun et al., 2018), and a later work improved the
performance of model-based algorithms by limiting model usage (Janner et al., 2019). But these
analysis is restricted to single-agent scenarios, whereas ours addresses multi-agent problems."
RELATED WORK,0.021696252465483234,"On the other hand, Networked System Control (NSC) (Chu et al., 2020) is a challenging setting for
MARL algorithm to take effect. Some multi-agent algorithms falls into centralized training decen-
tralized execution (CTDE) framework. For example, QMIX (Rashid et al., 2018) and COMA (Foer-
ster et al., 2018) all use a centralized critic. In a large network, however, centralized training might
not scale. In many scenarios, only fully decentralized algorithms can be used. Zhang et al. (2018)
proposed an algorithm of NSC that can be proven to converge under linear approximation. Qu et al.
(2020a) proposed truncated policy gradient, to optimize local policies with limited communication.
Baking in the idea of truncated Q-learning in (Qu et al., 2020a), we generalize their algorithm to
deep RL, rather than tabular RL. Factoring environmental transition into marginal transitions can
be seen as factored MDP. Guestrin et al. (2001) used Dynamic Bayesian Network to predict system
transition. Simao & Spaan (2019) proposed a tabular RL algorithm to ensure policy improvement at
each step. However, our algorithm is a deep RL algorithm, enabling better performance in general
tasks."
RELATED WORK,0.023668639053254437,"There are some works on applying model-based methods in MARL settings. A line of research
focuses on model-based RL for two-player games. For example, Brafman & Tennenholtz (2000)
solved single-controller-stochastic games, which is a certain type of two-player zero-sum game;
Bouzy & M´etivier (2007) performed MB-MARL in the pursuit evasion game; Zhang et al. (2020)
proved that model-based method can be nearly optimally sample efﬁcient in two-player zero-sum
Markov games. Bargiacchi et al. (2021) extended the concept of prioritized sweeping into a MARL
scenario. However, this is a tabular reinforcement algorithm, thus unable to deal with cases where
state and action spaces are relatively large, or even continuous. In contrast to existing works, our
algorithm is not only applicable to more general multi-agent problems, but is also the ﬁrst fully
decentralized model-based reinforcement learning algorithm."
PROBLEM SETUP,0.02564102564102564,"3
PROBLEM SETUP"
PROBLEM SETUP,0.027613412228796843,"In this section, we introduce multi-agent networked MDP and model-based networked system con-
trol."
PROBLEM SETUP,0.029585798816568046,"Networked MDP
We consider environments with a graph structure. Speciﬁcally, n agents coexist
in an underlying undirected and stationary graph G = (V, E). Agents are represented as a node
in the graph, therefore V = {1, ..., n} is the set of agents. E ⊂V × V comprises the edges that
represent the connectivity of agents. Agents are able to communicate along the edges with their
neighbors. Let Ni denote every neighbor of agent i, and ¯
Ni = Ni ∪{i}. Furthermore, let N κ
i denote
the κ-hop neighborhood of i, i.e. the nodes whose graph distance to i is less than or equal to κ. For
the simplicity of notation, we also deﬁne N κ
−i = V \ N κ
i ."
PROBLEM SETUP,0.03155818540433925,Under review as a conference paper at ICLR 2022
PROBLEM SETUP,0.03353057199211045,"The corresponding networked MDP is deﬁned as (G, {Si, Ai}i∈V, p, r). Each agent i have their
local state si ∈Si, and perform action ai ∈Ai. The global state is the concatenation of all local
states: s = (s1, ..., sn) ∈S := S1 ×...×Sn. Similarly, the global action is a = (a1, ..., an) ∈A :=
A1 × ... × An. For the simplicity of notation, we deﬁne sNi to be the local states of every agent in
Ni, that is, given Ni = {j1, ..., jc}, then sNi = (sj1, ..., sjc). aNi, sN κ
i , aNκ
i are deﬁned similarly.
The transition function is deﬁned as: p(s′|s, a) : S × A →S. Each agent possess a localized policy
πθi
i (ai|s ¯
Ni) that is parameterized by θi ∈Θi, meaning the local policy is dependent only on states
of its neighbors and itself. We use θ = (θ1, ..., θn) to denote the tuple of localized policy parameters,
and πθ(a|s) = Qn
i=1 πθi
i (ai|s ¯
Ni) denote the joint policy. We also assume that reward functions is
only dependent on local state and action: ri(si, ai), and the global reward function is deﬁned to be
the average reward r(s, a) = 1"
PROBLEM SETUP,0.03550295857988166,"n
Pn
i=1 ri(si, ai)."
PROBLEM SETUP,0.03747534516765286,"The goal of reinforcement learning is to maximize the expected sum of discounted rewards, denoted
by η:"
PROBLEM SETUP,0.03944773175542406,"πθ∗= arg max
πθ η[πθ] = arg max
πθ Eπθ
h ∞
X"
PROBLEM SETUP,0.04142011834319527,"t=0
γt · 1 n n
X"
PROBLEM SETUP,0.04339250493096647,"i=1
ri(st, at)
i
,
(1)"
PROBLEM SETUP,0.045364891518737675,"where γ ∈(0, 1) is the temporal discount factor. We deﬁne the stationary distribution under policy
π to be dπ(s)."
PROBLEM SETUP,0.047337278106508875,"Independent Networked System
Networked system may have some extent of locality, meaning
in some cases, local states and actions do not affect the states of distant agents. In such systems,
environmental transitions can be factorized, and agents are able to maintain local models to predict
future local states. We deﬁne Independent Networked System (INS) as follows:
Deﬁnition 1. An environment is an Independent Networked System (INS) if:"
PROBLEM SETUP,0.04930966469428008,"p(s′|s, a) = n
Y"
PROBLEM SETUP,0.05128205128205128,"i=1
pi(s′
i|s ¯
Ni, ai), ∀s′, s ∈S, a ∈A."
PROBLEM SETUP,0.05325443786982249,"INS might be an assumption that is too strong to hold. However, for the dynamics that cannot be
factorized, we can still use an INS to approximate it. Let DT V denote the total variation distance
between distributions, we have the following deﬁnition:
Deﬁnition 2. (ξ-dependent) Assume there exists an Independent Networked System ¯p such that
¯p(s′|s, a) = Qn
i=1 pi(s′
i|s ¯
Ni, ai). An environment is ξ-dependent, if:"
PROBLEM SETUP,0.055226824457593686,"sup
s,a DT V

p(s′|s, a)∥¯p(s′|s, a)

= sup
s,a
1
2 X"
PROBLEM SETUP,0.05719921104536489,"s′∈S
|p(s′|s, a) −¯p(s′|s, a)| ≤ξ."
PROBLEM SETUP,0.05917159763313609,"To explain the intuition behind this deﬁnition, we point out that ξ is actually the lower bound of
model error when we use local models ˆp(s ¯
Ni, ai). Recall that p(s′|s, a) is the real environment
transition, ¯p = Qn
i=1 pi(s′
i|s ¯
Ni, ai) is the product of marginal environment transitions, and ˆp(s, a) =
Qn
i=1 ˆpi(s′
i|s ¯
Ni, ai) is the product of model transitions. Then the universal model error D(p∥ˆp) can
be divided into two parts: dependency bias D(p∥¯p) and model error D(¯p∥ˆp):
D(p∥ˆp) ≤D(p∥¯p) + D(¯p∥ˆp).
Then for a ξ-dependent system, when models become very accurate, meaning D(¯p∥ˆp) ≈0,
sup D(p∥ˆp) ≈sup D(p∥¯p) = ξ. While D can be any appropriate distance metric, we use the
TV-distance hereafter for the ease of presentation. In the following, we develop theory under both
INS and ξ-dependent scenarios."
DECENTRALIZED MODEL-BASED POLICY OPTIMIZATION,0.0611439842209073,"4
DECENTRALIZED MODEL-BASED POLICY OPTIMIZATION"
DECENTRALIZED MODEL-BASED POLICY OPTIMIZATION,0.0631163708086785,"In this section, we formally present Decentralized Model-based Policy Optimization (DMPO),
which is a fully decentralized model-based reinforcement learning algorithm. Compared with inde-
pendent multi-agent PPO, DMPO is augmented in three ways: localized model, policy with one-step
communication, and extended value function. We introduce the detail of localized model in 4.1. Pol-
icy and value functions are introduced in 4.2. The illustration of our algorithm is given in Figure
1. All the components mentioned above are analyzed in Section 5. We argue that under certain
conditions, our algorithm ensures monotonic policy improvement."
DECENTRALIZED MODEL-BASED POLICY OPTIMIZATION,0.0650887573964497,Under review as a conference paper at ICLR 2022
DECENTRALIZED MODEL-BASED POLICY OPTIMIZATION,0.0670611439842209,"(a) Neighborhood
(b) Value function"
DECENTRALIZED MODEL-BASED POLICY OPTIMIZATION,0.06903353057199212,(c) Graph convolutional model
DECENTRALIZED MODEL-BASED POLICY OPTIMIZATION,0.07100591715976332,"Figure 1: (a) presents the concept of neighborhood. If agent i is the node in purple, then purple and
orange is ¯
Ni, and combination of purple, orange and green is N 3
i . (b) explains that extended value
function takes sNκ
i as input, here κ = 3. (c) is the illustration of graph convolutional model."
DECENTRALIZED PREDICTIVE MODEL,0.07297830374753451,"4.1
DECENTRALIZED PREDICTIVE MODEL"
DECENTRALIZED PREDICTIVE MODEL,0.07495069033530571,"To perform decentralized model-based learning, we let each agent maintain a localized model. The
localized model can observe the state of 1-hop neighbor and the action of itself, and the goal of a
localized model is to predict the information of the next timestep, including state, reward and done.
This process is denoted by ˆpi(s′
i, r′
i, d′
i|s ¯
Ni, ai)."
DECENTRALIZED PREDICTIVE MODEL,0.07692307692307693,"We implement a localized model with graph convolutional networks (GCN). Recall that agents are
situated in a graph G = (V, E). In the ﬁrst step, a node-level encoder encodes local state into node
embedding,"
DECENTRALIZED PREDICTIVE MODEL,0.07889546351084813,"h0
i = f encode
i
(si).
(2)
Then we perform one step of graph convolution as follows,"
DECENTRALIZED PREDICTIVE MODEL,0.08086785009861933,"h(i,j) = f edge
(i,j) (h0
i , h0
j),
h1
i = f node
i
(
X"
DECENTRALIZED PREDICTIVE MODEL,0.08284023668639054,"e=(i,j)
h(i,j), ai).
(3)"
DECENTRALIZED PREDICTIVE MODEL,0.08481262327416174,"In this way, h1
i is dependent only on s ¯
Ni and ai. Finally, a node-level decoder generates the predic-
tion of state, reward and done from h1
i as follows:"
DECENTRALIZED PREDICTIVE MODEL,0.08678500986193294,"s′
i = f state
i
(h1
i ) + si,
r′
i = f reward
i
(h1
i ),d′
i = f done
i
(h1
i ).
(4)"
DECENTRALIZED PREDICTIVE MODEL,0.08875739644970414,"Note that we predict the next state with a skip connection, because empirically, it’s more efﬁcient to
predict the change of the state rather than the state itself."
DECENTRALIZED PREDICTIVE MODEL,0.09072978303747535,"In practice, the data are all stored locally by each agent. Data that are collected in the environment
by agent i is denoted as Denv
i
, and those generated by predictive model is denoted as Dmodel
i
."
DECENTRALIZED PREDICTIVE MODEL,0.09270216962524655,"Scaling model-based methods into real tasks can result in decreased performance, even if the model
is relatively accurate. One main reason is the compound modeling error when long model rollouts
are used, and model error compound along the rollout trajectory, making the trajectory ultimately in-
accurate. To reduce the negative effect of model error, we adopt a branched rollout scheme proposed
in (Janner et al., 2019). In branched rollout, model rollout starts not from an initial state, but from a
state that was randomly selected from the most recent environmental trajectory τ. Additionally, the
model rollout length is ﬁxed to be T. This scheme is shown to be effective in reducing the negative
inﬂuence of model error both theoretically and empirically."
DECENTRALIZED PREDICTIVE MODEL,0.09467455621301775,"To deal with the bias of model trajectories, at each model rollout, we allow the algorithm to fall back
to the real trajectory with probability 1 −q0, where q0 is a hyperparameter. We describe the detailed
framework of model usage and experiment storage in Algorithm 1."
PROXIMAL POLICY OPTIMIZATION WITH EXTENDED VALUE FUNCTION,0.09664694280078895,"4.2
PROXIMAL POLICY OPTIMIZATION WITH EXTENDED VALUE FUNCTION"
PROXIMAL POLICY OPTIMIZATION WITH EXTENDED VALUE FUNCTION,0.09861932938856016,"To optimize the policies, we need to adopt an algorithm that can exploit network structure, whilst
remaining decentralized. Independent RL algorithms that observes only local state are fully decen-
tralized, but they often fail to learn an optimal policy. Centralized algorithms that utilize centralized"
PROXIMAL POLICY OPTIMIZATION WITH EXTENDED VALUE FUNCTION,0.10059171597633136,Under review as a conference paper at ICLR 2022
PROXIMAL POLICY OPTIMIZATION WITH EXTENDED VALUE FUNCTION,0.10256410256410256,"Algorithm 1: Decentralized Model-based Policy Optimization (DMPO) for MARL
Input: hyperparameters: rollout length T, truncation radius κ"
PROXIMAL POLICY OPTIMIZATION WITH EXTENDED VALUE FUNCTION,0.10453648915187377,"1: Initialize the model pψi
i , actor πθi
i and critic V φi
i .
2: Initialize replay buffers Denv
i
and Dmodel
i
.
3: for M iterations do
4:
Perform environmental rollout together, and each agent i collect trajectory information τi.
5:
for i in N agents do
6:
Denv
i
= Denv
i
∪{τi}.
7:
Train pψi
i
on Denv
i
.
8:
Dmodel
i
= ∅.
9:
for B inner iterations: do
10:
Generate a random number q ∼U(0, 1).
11:
if q > q0 then
12:
Dmodel
i
= τi. {Fall back to real trajectory with probability 1 −q0.}
13:
else
14:
for R rollouts, s ∈τ do
15:
Perform T-step model rollout starting from s using policy pψ∗, append to Dmodel
∗
.
16:
for G steps, i = 0, ..., n −1 do
17:
Take a step along the gradient to update πθi
i and critic V φi
i
on Dmodel
∗"
PROXIMAL POLICY OPTIMIZATION WITH EXTENDED VALUE FUNCTION,0.10650887573964497,"critics often achieve better performance than decentralized algorithms, but they might not scale to
large environments where communication costs are expensive."
PROXIMAL POLICY OPTIMIZATION WITH EXTENDED VALUE FUNCTION,0.10848126232741617,"We propose Proximal Policy Optimization with extended value function, which is deﬁned as
Vi(sNκ
i ) = EsNκ
−i∼dπ[P∞
t=0 rt
i|s0
N κ
i = sNκ
i ], i ∈V. The intuition behind extended value func-
tion comes from (Qu et al., 2020a), where truncated Q-function Q(sN κ
i , aNκ
i ) is initially proposed.
In 5.3, we prove that Vi(sN κ
i ) is a good approximation of Vi(s), with a difference decreasing expo-
nentially with κ."
PROXIMAL POLICY OPTIMIZATION WITH EXTENDED VALUE FUNCTION,0.11045364891518737,"To generate the objective for extended value function, or return Ri, we use reward-to-go technique.
However, because model rollout is short, standard reward-to-go returns would get a biased estima-
tion of Vi. To resolve this issue, we add the value estimation of the last state to the return. In this
way, with a local trajectory τi = {(st
i, at
i, rt
i, (s′)t
i, dt
i, log πt
i), t = 0, 1, ..., T −1}, the objective of
V t
i (sNκ
i ) is"
PROXIMAL POLICY OPTIMIZATION WITH EXTENDED VALUE FUNCTION,0.11242603550295859,"Rt
i ="
PROXIMAL POLICY OPTIMIZATION WITH EXTENDED VALUE FUNCTION,0.11439842209072978,"T −t−1
X"
PROXIMAL POLICY OPTIMIZATION WITH EXTENDED VALUE FUNCTION,0.11637080867850098,"l=0
γlrt+l
i
+ V φi
i

(s′)T −1
N κ
i

,
(5)"
PROXIMAL POLICY OPTIMIZATION WITH EXTENDED VALUE FUNCTION,0.11834319526627218,"and the loss of value function is deﬁned as Lvalue
i
= 1 m
P"
PROXIMAL POLICY OPTIMIZATION WITH EXTENDED VALUE FUNCTION,0.1203155818540434,"m∈Dmodel
i

V φi
i (sm
N κ
i ) −Rm
i
2. In policy
training, extended value functions Vi are reduced via communication to their κ-hop neighbors to
generate an estimation of global value function,"
PROXIMAL POLICY OPTIMIZATION WITH EXTENDED VALUE FUNCTION,0.1222879684418146,"˜V t
i = 1 n X"
PROXIMAL POLICY OPTIMIZATION WITH EXTENDED VALUE FUNCTION,0.1242603550295858,"j∈N κ
i"
PROXIMAL POLICY OPTIMIZATION WITH EXTENDED VALUE FUNCTION,0.126232741617357,"˜V t
j ,
(6)"
PROXIMAL POLICY OPTIMIZATION WITH EXTENDED VALUE FUNCTION,0.1282051282051282,"and advantages ˆAi are computed on ˜Vi with generalized advantage estimation (GAE) (Schulman
et al., 2015) for policy gradient update. The surrogate loss function of a DMPO agent is deﬁned as"
PROXIMAL POLICY OPTIMIZATION WITH EXTENDED VALUE FUNCTION,0.1301775147928994,"Lpolicy
i
= 1 m X"
PROXIMAL POLICY OPTIMIZATION WITH EXTENDED VALUE FUNCTION,0.13214990138067062,"m∈Dmodel
i min"
PROXIMAL POLICY OPTIMIZATION WITH EXTENDED VALUE FUNCTION,0.1341222879684418,"πθi
i (at
i|st
¯
Ni)"
PROXIMAL POLICY OPTIMIZATION WITH EXTENDED VALUE FUNCTION,0.13609467455621302,"π
θk
i
i (at
i|st
¯
Ni)
ˆAi(sV κ
i ), g(ϵ, ˆAi(sV κ
i )) ! ,
(7)"
PROXIMAL POLICY OPTIMIZATION WITH EXTENDED VALUE FUNCTION,0.13806706114398423,similar to PPO-Clip loss.
