Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0037593984962406013,"Any classiﬁer can be “smoothed out” under Gaussian noise to build a new clas-
siﬁer that is provably robust to ℓ2-adversarial perturbations, viz., by averaging
its predictions over the noise, namely via randomized smoothing.
Under the
smoothed classiﬁers, the fundamental trade-off between accuracy and (adversar-
ial) robustness has been well evidenced in the literature: i.e., increasing the ro-
bustness of a classiﬁer for an input can be at the expense of decreased accuracy
for some other inputs. In this paper, we propose a simple training method lever-
aging this trade-off for obtaining more robust smoothed classiﬁers, in particular,
through a sample-wise control of robustness over the training samples. We en-
able this control feasible by investigating the correspondence between robustness
and prediction conﬁdence of smoothed classiﬁers: speciﬁcally, we propose to use
the “accuracy under Gaussian noise” as an easy-to-compute proxy of adversarial
robustness for each input. We differentiate the training objective depending on
this proxy to ﬁlter out samples that are unlikely to beneﬁt from the worst-case
(adversarial) objective. Our experiments following the standard benchmarks con-
sistently show that the proposed method, despite its simplicity, exhibits improved
certiﬁed robustness upon existing state-of-the-art training methods."
INTRODUCTION,0.007518796992481203,"1
INTRODUCTION"
INTRODUCTION,0.011278195488721804,"Despite these tremendous advances in deep neural networks for a variety of tasks towards artiﬁcial
intelligence, e.g., visual recognition (He et al., 2016; Chen et al., 2020), natural language processing
(Vaswani et al., 2017; Brown et al., 2020), and reinforcement learning (Silver et al., 2017; Vinyals
et al., 2019), the broad existence of adversarial examples (Szegedy et al., 2014) is still one of the
most signiﬁcant aspects that reveals the gap between machine learning systems and humans: for a
given input x (e.g., an image) to a classiﬁer f, say a neural network, f often permits a perturbation
δ that completely ﬂips the prediction f(x + δ), while δ is too small to change the semantic in x. In
response to this vulnerability, there have been signiﬁcant efforts in building robust neural network
based classiﬁers against adversarial examples, either in forms of empirical defenses (Athalye et al.,
2018; Carlini et al., 2019; Tramer et al., 2020), which are largely based on adversarial training
(Madry et al., 2018; Zhang et al., 2019; Wang et al., 2020; Zhang et al., 2020b; Wu et al., 2020), or
certiﬁed defenses (Wong & Kolter, 2018; Xiao et al., 2019; Cohen et al., 2019; Zhang et al., 2020a),
depending on whether the robustness claim can be theoretically guaranteed or not."
INTRODUCTION,0.015037593984962405,"Randomized smoothing (Lecuyer et al., 2019; Cohen et al., 2019), our focus in this paper, is currently
a prominent approach in the context of certiﬁed defense, thanks to its scalability to arbitrary neural
network architectures while previous methods have been mostly limited in network sizes or require
strong assumptions on their architectures: speciﬁcally, for a given classiﬁer f, it constructs a new
classiﬁer ˆf, where ˆf(x) is deﬁned to be the class that f(x + δ) outputs most likely over δ ∼
N(0, σ2I), i.e., the Gaussian noise. Then, it is shown by Lecuyer et al. (2019) that ˆf is certiﬁably
robust in ℓ2-norm, and Cohen et al. (2019) further tightened the ℓ2-robustness guarantee which is
currently considered as the state-of-the-art in certiﬁed defense."
INTRODUCTION,0.018796992481203006,"However, even with recent methods for adversarial defense, including randomized smoothing, the
trade-off between robustness and accuracy (Tsipras et al., 2019; Zhang et al., 2019) has been well
evidenced, i.e., increasing the robustness for a speciﬁc input can be at the expense of decreased
accuracy for other inputs. For instance, with the current best practices, Salman et al. (2020) report"
INTRODUCTION,0.022556390977443608,Under review as a conference paper at ICLR 2022
INTRODUCTION,0.02631578947368421,"that the accuracy of ResNet-50 on ImageNet degrades, e.g., 75.8% →63.9%, by an ℓ∞-adversarial
training, i.e., optimizing the classiﬁer to ensure robustness at all the given training samples around
an ℓ∞-ball (of size
4
255). In addition, Zhang et al. (2019) have shown that the (empirical) robustness
of a classiﬁer can be further boosted in training by paying more expense in accuracy. A similar trend
can be also observed with certiﬁed defenses, e.g., randomized smoothing, as the clean accuracy of
smoothed classiﬁers are usually less than those one can obtain from the standard training on the
same architecture (Cohen et al., 2019)."
INTRODUCTION,0.03007518796992481,"Contribution.
In this paper, we develop a novel training method for randomized smoothing,
coined Conﬁdence-Aware Training for Randomized Smoothing (CAT-RS), which incorporates a
sample-wise control of target robustness on-the-ﬂy motivated by the accuracy-robustness trade-off in
smoothed classiﬁers. Intuitively, a natural approach one can consider in response to the trade-off in
robust training is to appropriately lower the robustness requirement for “hard-to-classify” samples
while maintaining those for the remaining (“easier”) samples: here, the challenges are (a) which
samples we should choose for it during training and (b) how to control their target robustness."
INTRODUCTION,0.03383458646616541,"To implement this idea, we focus on the direct correspondence from prediction conﬁdence to adver-
sarial robustness that smoothed classiﬁers offer: due to its local-Lipschitzness (Salman et al., 2019),
achieving a high conﬁdence at x from a smoothed classiﬁer also implies a high (certiﬁed) robustness
at x. Inspired by this, we propose to use the sample-wise conﬁdence (of smoothed classiﬁers) as an
efﬁcient proxy of the certiﬁed robustness, and deﬁnes two new losses, namely bottom-K and worst-
case Gaussian training, each of those targets different levels of conﬁdence so that the overall training
can be more informed sample-wise for better robustness by preventing low-conﬁdent samples from
being enforced to increase their robustness."
INTRODUCTION,0.03759398496240601,"We verify the effectiveness of our proposed method through an extensive comparison with existing
robust training methods for smoothed classiﬁers, including the state-of-the-arts, on a wide range of
established benchmarks on MNIST and CIFAR-10 datasets. Our experimental results constantly
show that the proposed method can signiﬁcantly improve the previous state-of-the-art results on
certiﬁed robustness achievable from a given neural network architecture, by (a) maximizing the
robust radii of high-conﬁdence samples while (b) reducing the risk of deteriorating the accuracy at
low-conﬁdence samples. Our extensive ablation study further conﬁrms that each of both proposed
components has an individual effect on improving certiﬁed robustness, and can effectively control
the accuracy-robustness trade-off with the hyperparameter between the two proposed losses."
PRELIMINARIES,0.041353383458646614,"2
PRELIMINARIES"
PRELIMINARIES,0.045112781954887216,"Adversarial robustness. Consider a labeled dataset D = {(xi, yi)}n
i=1 from a certain distribution
P, where x ∈Rd and y ∈Y := {1, · · · , K}, which forms a classiﬁcation problem with K classes.
Let f : Rd →Y be a classiﬁer. Notice that f is a discrete and non-differentiable, so that one
can additionally consider a differentiable F : Rd →∆K−1 to allow a gradient-based optimization
assuming f(x) := arg maxk∈Y Fk(x), where ∆K−1 is probability simplex in RK. The standard
framework of empirical risk minimization to optimize f assumes that the samples in D are i.i.d.
from P and expect f to perform well given that the future samples also follow the i.i.d. assumption."
PRELIMINARIES,0.04887218045112782,"However, in the context of adversarial robustness (and for other notions of robustness as well),
the i.i.d. assumption on the future samples does not hold anymore: instead, it additionally assumes
that the samples can be arbitrarily perturbed up to a certain restriction, e.g., a bounded ℓ2-ball, and
focuses on the worst-case performance over the perturbed samples. One possible way to quantify
this scenario is to consider the average minimum-distance of adversarial perturbation (Moosavi-
Dezfooli et al., 2016; Carlini & Wagner, 2017; Carlini et al., 2019), namely:"
PRELIMINARIES,0.05263157894736842,"R(f; P) := E(x,y)∼P"
PRELIMINARIES,0.05639097744360902,"
min
f(x′)̸=y ||x′ −x||2"
PRELIMINARIES,0.06015037593984962,"
.
(1)"
PRELIMINARIES,0.06390977443609022,"In this respect, we aim to ﬁnd f that maximizes R(f; P) while maintaining the performance on P."
PRELIMINARIES,0.06766917293233082,"Randomized smoothing.
The essential challenge in achieving adversarial robustness in neural
networks, however, stems from that directly evaluating (1) (and further optimizing it) is usually
computationally infeasible, e.g., under the standard practice that F is modeled by a complex, high-
dimensional neural network. Randomized smoothing (Lecuyer et al., 2019; Cohen et al., 2019)"
PRELIMINARIES,0.07142857142857142,Under review as a conference paper at ICLR 2022
PRELIMINARIES,0.07518796992481203,"Lecuyer et al. (2018)
Li et al. (2018)
Cohen et al. (2019)"
PRELIMINARIES,0.07894736842105263,Certified radius 0 1 2 3
PRELIMINARIES,0.08270676691729323,"pf
0.5
0.6
0.7
0.8
0.9
1.0"
PRELIMINARIES,0.08646616541353383,"Figure 1: Existing ℓ2-robustness guar-
antees with respect to the conﬁdence of
smoothed classiﬁers at σ = 1.0."
PRELIMINARIES,0.09022556390977443,(a) Low-conﬁdence samples (b) High-conﬁdence samples
