Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0029498525073746312,"In the deep learning era, long video generation of high-quality still remains chal-
lenging due to the spatio-temporal complexity and continuity of videos. Existing
prior works have attempted to model video distribution by representing videos as
3D grids of RGB values, which impedes the scale of generated videos and neglects
continuous dynamics. In this paper, we found that the recent emerging paradigm
of implicit neural representations (INRs) that encodes a continuous signal into a
parameterized neural network effectively mitigates the issue. By utilizing INRs of
video, we propose dynamics-aware implicit generative adversarial network (DI-
GAN), a novel generative adversarial network for video generation. Specifically,
we introduce (a) an INR-based video generator that improves the motion dynam-
ics by manipulating the space and time coordinates differently and (b) a motion
discriminator that efficiently identifies the unnatural motions without observing
the entire long frame sequences. We demonstrate the superiority of DIGAN un-
der various datasets, along with multiple intriguing properties, e.g., long video
synthesis, video extrapolation, and non-autoregressive video generation. For ex-
ample, DIGAN improves the previous state-of-the-art FVD score on UCF-101 by
30.7% and can be trained on 128 frame videos of 128×128 resolution, 80 frames
longer than the 48 frames of the previous state-of-the-art method.1*"
INTRODUCTION,0.0058997050147492625,"1
INTRODUCTION"
INTRODUCTION,0.008849557522123894,"Deep generative models have successfully synthesized realistic samples on various domains, includ-
ing image (Brock et al., 2019; Karras et al., 2020b; 2021; Dhariwal & Nichol, 2021), text (Adi-
wardana et al., 2020; Brown et al., 2020), and audio (Dhariwal et al., 2020; Lakhotia et al., 2021).
Recently, video generation has emerged as the next challenge of deep generative models, and thus
a long line of work has been proposed to learn the video distribution (Vondrick et al., 2016; Kalch-
brenner et al., 2017; Saito et al., 2017; 2020; Tulyakov et al., 2018; Acharya et al., 2018; Clark et al.,
2019; Weissenborn et al., 2020; Rakhimov et al., 2020; Tian et al., 2021; Yan et al., 2021)."
INTRODUCTION,0.011799410029498525,"Despite their significant efforts, a substantial gap still exists from large-scale real-world videos. The
difficulty of video generation mainly stems from the complexity of video signals; they are continu-
ously correlated across spatio-temporal directions. Specifically, most prior works interpret the video
as a 3D grid of RGB values, i.e., a sequence of 2D images, and model them with discrete decoders
such as convolutional (Tian et al., 2021) or autoregressive (Yan et al., 2021) networks. However,
such discrete modeling limits the scalability of generated videos due to the cubic complexity (Saito
et al., 2020) and ignores the inherent continuous temporal dynamics (Gordon & Parde, 2021)."
INTRODUCTION,0.014749262536873156,"Meanwhile, implicit neural representations (INRs; Sitzmann et al. (2020); Tancik et al. (2020)) have
emerged as a new paradigm for representing continuous signals. INR encodes a signal into a neural
network that maps input coordinates to corresponding signal values, e.g., 2D coordinates of im-
ages to RGB values. Consequently, INR amortizes the signal values of arbitrary coordinates into a
compact neural representation instead of discrete grid-wise signal values, requiring a large memory"
INTRODUCTION,0.017699115044247787,"1Videos are available at the project site https://sihyun-yu.github.io/digan/.
*Equal contribution."
INTRODUCTION,0.02064896755162242,Published as a conference paper at ICLR 2022
INTRODUCTION,0.02359882005899705,"Follow the arrow direction, and move to the next line at the end"
INTRODUCTION,0.02654867256637168,"Figure 1: 128 frame video of 128×128 resolution generated by DIGAN on the Tai-Chi-HD dataset.
DIGAN can train these videos with 4 NVIDIA V100 GPUs, while the prior state-of-the-art method,
DVD-GAN, uses more than 32 (up to 512) TPUs for training 48 frame videos of the same resolution."
INTRODUCTION,0.029498525073746312,"proportional to coordinate dimension and resolution. In this respect, INRs have shown to be highly
effective at modeling complex signals such as 3D scenes (Mildenhall et al., 2020; Li et al., 2021a).
Furthermore, INR has intriguing properties from its compactness and continuity, e.g., reduced data
memory (Dupont et al., 2021a) and upsampling to arbitrary resolution (Chen et al., 2021b)."
INTRODUCTION,0.032448377581120944,"Several works utilize INRs for generative modeling, i.e., samples are generated through INRs (Chan
et al., 2021; Dupont et al., 2021b; Kosiorek et al., 2021). In particular, Skorokhodov et al. (2021a)
and Anokhin et al. (2021) exposed that INR-based image generative adversarial networks (GANs;
Goodfellow et al. (2014)), which generate images as INRs, show impressive generation performance.
Interestingly, they further merit various advantages of INRs, e.g., natural inter- and extra-polation,
anycost inference (i.e., control the trade-off of quality and cost), and parallel computation, which
needs a non-trivial modification to apply under other generative model architectures."
INTRODUCTION,0.035398230088495575,"Inspired by this, we aim to design an INR-based (or implicit) video generation model by interpret-
ing videos as continuous signals. This alternative view is surprisingly effective as INRs compactly
encode the videos without 3D grids and naturally model the continuous spatio-temporal dynamics.
While na¨ıvely applying INRs for videos is already fairly effective, we found that a careful design of
separately manipulating space and time significantly improves the video generation."
INTRODUCTION,0.038348082595870206,"Contribution. We introduce dynamics-aware implicit generative adversarial network (DIGAN), a
novel INR-based GAN architecture for video generation. Our idea is two-fold (see Figure 2):"
INTRODUCTION,0.04129793510324484,"• Generator: We propose an INR-based video generator that decomposes the motion and content
(image) features, and incorporates the temporal dynamics into the motion features.2 To be spe-
cific, our generator encourages the temporal coherency of videos by regulating the variations of
motion features with a smaller temporal frequency and enhancing the expressive power of mo-
tions with an extra non-linear mapping. Moreover, our generator can create videos with diverse
motions sharing the initial frame by conditioning a random motion vector to the content vector.
• Discriminator: We propose a motion discriminator that efficiently detects unnatural motions
from a pair of images (and their time difference) instead of a long sequence of images. Specif-
ically, DIGAN utilizes a 2D convolutional network for the motion discriminator, unlike prior
works that utilize computationally heavier 3D convolutional networks to handle the entire video
at once. Such an efficient discriminating scheme is possible since INRs of videos can non-
autoregressively synthesize highly correlated frames at arbitrary times."
INTRODUCTION,0.04424778761061947,"We demonstrate the superiority of DIGAN on various datasets, including UCF-101 (Soomro et al.,
2012), Tai-Chi-HD (Siarohin et al., 2019), Sky Time-lapse (Xiong et al., 2018), and a food class
subset of Kinetics-600 (Carreira et al., 2018) datasets, e.g., it improves the state-of-the-art results"
INTRODUCTION,0.0471976401179941,"2We remark that this decomposition can be naturally done under the INR framework, and one can effectively
extend the implicit image GANs for video generation by adding a motion generator."
INTRODUCTION,0.05014749262536873,Published as a conference paper at ICLR 2022
INTRODUCTION,0.05309734513274336,"of Fr´echet video distance (FVD; Unterthiner et al. (2018), lower is better) on UCF-101 from 833 to
577 (+30.7%). Furthermore, DIGAN appreciates various intriguing properties, including,"
