Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,ABSTRACT
ABSTRACT,0.0021008403361344537,"Background. Commonly, Deep Neural Networks (DNNs) generalize well on
samples drawn from a distribution similar to that of the training set. However,
DNNs’ predictions are brittle and unreliable when the test samples are drawn
from a dissimilar distribution. This is a major concern for deployment in real-
world applications, where such behavior may come at a considerable cost, such as
industrial production lines, autonomous vehicles, or healthcare applications.
Contributions. We frame Out Of Distribution (OOD) detection in DNNs as a
statistical hypothesis testing problem. Tests generated within our proposed frame-
work combine evidence from the entire network. Unlike previous OOD detection
heuristics, this framework returns a p-value for each test sample. It is guaranteed
to maintain the Type I Error (T1E - incorrectly predicting OOD for an actual
in-distribution sample) for test data. Moreover, this allows to combine several de-
tectors while maintaining the T1E. Building on this framework, we suggest a novel
OOD procedure based on low-order statistics. Our method achieves comparable
or better results than state-of-the-art methods on well-accepted OOD benchmarks,
without retraining the network parameters or assuming prior knowledge on the test
distribution — and at a fraction of the computational cost."
INTRODUCTION,0.004201680672268907,"1
INTRODUCTION"
INTRODUCTION,0.0063025210084033615,"Deep Neural Networks’ (DNNs) predictions were shown to be overconfident and unreliable when
the test samples are drawn from an unexpected distribution (e.g., Biggio et al. (2013); Szegedy et al.
(2013); Goodfellow et al. (2014); Eykholt et al. (2017)). Therefore, numerous Out Of Distribution
(OOD) detection methods were suggested to address this issue by informing an operator when not to
trust the DNN’s prediction."
INTRODUCTION,0.008403361344537815,"In the context of DNNs, methods for OOD detection can be roughly divided into two classes.
""Mutators"" methods modify the network structure or loss, and depend on training its parameters
to provide a confidence measure (Hendrycks et al., 2018; Malinin and Gales, 2018; Winkens et al.,
2020; Zhang et al., 2020; Hsu et al., 2020). ""Observer"" methods model the prediction uncertainty
of a pre-trained network, without modifying its architecture or parameters (Hendrycks and Gimpel,
2016; Liang et al., 2017; Lee et al., 2018; Zisselman and Tamar, 2020; Raghuram et al., 2020)."
INTRODUCTION,0.01050420168067227,"Mutators are potentially costly, as they require substituting or retraining the network and subsequently
repeating an exhaustive hyperparameter tuning process. Also, the resulting model quality on the"
INTRODUCTION,0.012605042016806723,∗Equal contribution
INTRODUCTION,0.014705882352941176,Published as a conference paper at ICLR 2022
INTRODUCTION,0.01680672268907563,"original task may vary. Alternatively, observer methods commonly utilize auxiliary models to monitor
features produced by the reference network. Since this approach is decoupled from the network
optimization process, the reference accuracy is retained at the cost of additional test time resources,
such as compute and memory."
INTRODUCTION,0.018907563025210083,"Another differentiating factor between methods, regardless of their class, stems from fundamental
assumptions regarding prior knowledge on the test distribution. Specifically, some methods (e.g.,
Hendrycks et al. (2018); Lee et al. (2018); Zisselman and Tamar (2020)) rely on prior knowledge,
such as access to the OOD data or its proxy. However, this prior can lead to undesirable bias and
poor detection performance on other test distributions."
