Section,Section Appearance Order,Paragraph
ABSTRACT,0.0,Abstract
ABSTRACT,0.0006514657980456026,"We focus on a class of reinforcement learning algorithms, Monte-Carlo Tree Search
1"
ABSTRACT,0.0013029315960912053,"(MCTS), in stochastic settings. While recent advancements combining MCTS with
2"
ABSTRACT,0.001954397394136808,"deep learning have excelled in deterministic environments, they face challenges
3"
ABSTRACT,0.0026058631921824105,"in highly stochastic settings, leading to suboptimal action choices and decreased
4"
ABSTRACT,0.003257328990228013,"performance. Distributional Reinforcement Learning (RL) addresses these chal-
5"
ABSTRACT,0.003908794788273616,"lenges by extending the traditional Bellman equation to consider value distributions
6"
ABSTRACT,0.004560260586319218,"instead of a single mean value, showing promising results in Deep Q Learning.
7"
ABSTRACT,0.005211726384364821,"In this paper, we bring the concept of Distributional RL to MCTS, focusing on
8"
ABSTRACT,0.005863192182410423,"modeling value functions as categorical and particle distributions. Consequently,
9"
ABSTRACT,0.006514657980456026,"we propose two novel algorithms: Categorical Thompson Sampling for MCTS
10"
ABSTRACT,0.0071661237785016286,"(CATS), which uses categorical distributions for Q values, and Particle Thompson
11"
ABSTRACT,0.007817589576547232,"Sampling for MCTS (PATS), which models Q values with particle-based distri-
12"
ABSTRACT,0.008469055374592834,"butions. Both algorithms employ Thompson Sampling to handle action selection
13"
ABSTRACT,0.009120521172638436,"randomness. Our contributions are threefold: We introduce a distributional frame-
14"
ABSTRACT,0.009771986970684038,"work for Monte-Carlo Planning to model uncertainty in return estimation. We
15"
ABSTRACT,0.010423452768729642,"prove the effectiveness of our algorithms by achieving a non-asymptotic problem-
16"
ABSTRACT,0.011074918566775244,"dependent upper bound on simple regret of order O(n−1), where n is the number
17"
ABSTRACT,0.011726384364820847,"of trajectories. We provide empirical evidence demonstrating the efficacy of our
18"
ABSTRACT,0.012377850162866449,"approach compared to baselines in both stochastic and deterministic environments.
19"
INTRODUCTION,0.013029315960912053,"1
Introduction
20"
INTRODUCTION,0.013680781758957655,"Online planning in Markov decision processes (MDPs) involves making real-time decisions based on
21"
INTRODUCTION,0.014332247557003257,"the current state of the environment. It requires balancing exploration and exploitation while handling
22"
INTRODUCTION,0.01498371335504886,"uncertainty and partial observability. Monte Carlo Tree Search (MCTS) is a highly effective online
23"
INTRODUCTION,0.015635179153094463,"planning method for tackling complex MDPs. MCTS has shown impressive performance in various
24"
INTRODUCTION,0.016286644951140065,"tasks, including traditional board games like Chess and Go, video games, and real-world challenges.
25"
INTRODUCTION,0.016938110749185668,"Notable successes include advancements in Chess (35) and Go (34; 36; 30), video game strategy (28),
26"
INTRODUCTION,0.01758957654723127,"robot assembly (16), robot path planning (15; 13), and autonomous driving (24).
27"
INTRODUCTION,0.018241042345276872,"Despite these achievements, current MCTS methods are primarily effective in deterministic environ-
28"
INTRODUCTION,0.018892508143322474,"ments, often overlooking the significant impact of randomness in real-world scenarios. In highly
29"
INTRODUCTION,0.019543973941368076,"stochastic and partially observable environments, conventional MCTS approaches face substantial
30"
INTRODUCTION,0.020195439739413682,"challenges due to widespread randomness and limited observability. This leads to compromised value
31"
INTRODUCTION,0.020846905537459284,"estimates, suboptimal decisions, and diminished overall performance. Therefore, there is a clear need
32"
INTRODUCTION,0.021498371335504887,"for improved methods capable of navigating the complexities of randomness and partial observability
33"
INTRODUCTION,0.02214983713355049,"in value estimation.
34"
INTRODUCTION,0.02280130293159609,"We now review related works to understand the advancements and limitations in these areas.
35"
INTRODUCTION,0.023452768729641693,"Related work In MCTS, value estimation methods and action selection rules are critical factors for
36"
INTRODUCTION,0.024104234527687295,"algorithm performance. Traditional value estimation methods, such as using empirical average mean
37"
INTRODUCTION,0.024755700325732898,"for value backup as in the Upper Confidence bounds applied to Trees method (UCT) (21), suffer from
38"
INTRODUCTION,0.025407166123778503,"underestimation of optimal values while maximum backup suffers from overestimation of optimal
39"
INTRODUCTION,0.026058631921824105,"values (9). The power mean estimator (12) offers a balanced solution by computing a mean between
40"
INTRODUCTION,0.026710097719869708,"the average and maximum values. In our approach, we also use power mean for value operator as
41"
INTRODUCTION,0.02736156351791531,"each V node stores the power mean of empirical means of succeeding Q-value nodes, eliminating the
42"
INTRODUCTION,0.028013029315960912,"need for V to be modeled as a distribution.
43"
INTRODUCTION,0.028664495114006514,"For action selection in MCTS, strategies from Multi-Armed Bandits (MAB) are commonly employed.
44"
